يلعب توربو الحلزون لعبة على لوح يحتوي على $2024$ صفًا و$2023$ عمودًا. توجد وحوش مخفية في $2022$ خلية. في البداية، لا يعلم توربو مكان الوحوش، لكنه يعرف أن هناك وحشًا واحدًا في كل صف ما عدا الصف الأول والأخير، وأن كل عمود يحتوي على حد أقصى وحش واحد.  يقوم توربو بعدة محاولات للانتقال من الصف الأول إلى الصف الأخير. في كل محاولة، يختار أن يبدأ من أي خلية في الصف الأول، ثم يتحرك باستمرار إلى خلية مجاورة تشترك بحدٍّ مشترك. (يسمح له بالعودة إلى خلية تمت زيارتها سابقاً.) إذا وصل إلى خلية تحتوي على وحش، تنتهي محاولته ويتم نقله إلى الصف الأول لبدء محاولة جديدة. الوحوش لا تتحرك، ويذكر توربو ما إذا كانت كل خلية قام بزيارتها تحتوي على وحش أم لا. إذا وصل إلى أي خلية في الصف الأخير، تنتهي محاولته وتنتهي اللعبة.  حدد القيمة الدنيا لـ$n$ التي يمكن لتوربو باستخدامها وضع خطة تضمن وصوله إلى الصف الأخير في المحاولة الـ$n$ أو قبلها، بغض النظر عن مواقع الوحوش.	3
لتكن $\mathbb{Q}$ مجموعة الأعداد النسبية. تُسمى الدالة $f: \mathbb{Q} \to \mathbb{Q}$ دالة "aquaesulian" إذا كانت الخاصية التالية تحقق: لكل $x,y \in \mathbb{Q}$،\[ f(x+f(y)) = f(x) + y \quad \text{أو} \quad f(f(x)+y) = x + f(y). \]أثبت أنه يوجد عدد صحيح $c$ بحيث أنه لأي دالة aquaesulian $f$، يوجد على الأكثر $c$ من الأعداد النسبية المختلفة على الصورة $f(r) + f(-r)$ لبعض العدد النسبي $r$، واستنتج أصغر قيمة ممكنة لـ $c$.	2
ليكن $n$ عددًا صحيحًا موجبًا. يتكون المثلث الياباني من $1 + 2 + \dots + n$ من الدوائر المرتبة في شكل مثلث متساوي الأضلاع بحيث يحتوي كل صف $i$، لكل $i = 1$، $2$، $\dots$، $n$، على $i$ دوائر بالضبط، وتكون واحدة منها فقط ملونة باللون الأحمر. مسار النينجا في المثلث الياباني هو تسلسل من $n$ دائرة يتم الحصول عليه من البداية في الصف العلوي، ثم الانتقال من دائرة واحدة إلى إحدى الدائرتين التاليتين مباشرة أسفلها، والانتهاء في الصف السفلي. هنا مثال على مثلث ياباني عندما $n = 6$، مع مسار نينجا في هذا المثلث يحتوي على دائرتين حمراوين. [asy] // credit to vEnhance for the diagram (which was better than my original asy): size(4cm);  pair X = dir(240); pair Y = dir(0);  path c = scale(0.5)*unitcircle;  int[] t = {0,0,2,2,3,0};  for (int i=0; i<=5; ++i) {     for (int j=0; j<=i; ++j) {  filldraw(shift(i*X+j*Y)*c, (t[i]==j) ? lightred : white);  draw(shift(i*X+j*Y)*c);     }  }  draw((0,0)--(X+Y)--(2*X+Y)--(3*X+2*Y)--(4*X+2*Y)--(5*X+2*Y),linewidth(1.5));  path q = (3,-3sqrt(3))--(-3,-3sqrt(3));  draw(q,Arrows(TeXHead, 1));  label("$n = 6$", q, S); label("$n = 6$", q, S); [/asy] بناءً على $n$، أوجد أكبر قيمة $k$ بحيث يكون هناك مسار نينجا في كل مثلث ياباني يحتوي على الأقل $k$ دوائر حمراء.	$\lfloor \log_{2} n  \rfloor + 1$
لنكن $n$ عددًا صحيحًا موجبًا. المربع النوردي هو لوح بحجم $n \times n$ يحتوي على جميع الأعداد من $1$ إلى $n^2$ بحيث تحتوي كل خلية على عدد واحد فقط. تُعتبر الخليتان المختلفتان متجاورتين إذا اشتركتا في جانب مشترك. تُسمى كل خلية تكون متجاورة فقط مع خلايا تحتوي على أعداد أكبر بالوادي. المسار الصاعد هو تسلسل من خلية واحدة أو أكثر بحيث: (i) الخلية الأولى في التسلسل تكون وادياً، (ii) كل خلية تالية في التسلسل تكون مجاورة للخلية السابقة، (iii) الأعداد المكتوبة في الخلايا في التسلسل تكون بترتيب تصاعدي. ابحث عن أقل عدد ممكن للمسارات الصاعدة في المربع النوردي كدالة لـ $n$.	$2n^2 - 2n + 1$
البروفيسور أوك يقوم بإطعام $100$ بوكيمون. كل بوكيمون لديه وعاء بسعة محددة بوحدة الكيلوجرام وهذه السعات معروفة للبروفيسور أوك. مجموع سعات كل الأوعية هو $100$ كيلوجرام. يقوم البروفيسور أوك بتوزيع $100$ كيلوجرام من الطعام بحيث يحصل كل بوكيمون على عدد صحيح غير سالب من الكيلوجرامات من الطعام (وقد يكون هذا العدد أكبر من سعة الوعاء). مستوى عدم الرضا لبوكيمون حصل على $N$ كيلوجرام من الطعام وسعة وعائه $C$ كيلوجرام يُحسب عن طريق $\lvert N-C\rvert$. جد أصغر عدد حقيقي $D$ بحيث يكون، بغض النظر عن سعات الأوعية، يمكن للبروفيسور أوك توزيع الطعام بطريقة تجعل مجموع مستويات عدم الرضا لكل البوكيمونات الـ$100$ لا يتجاوز $D$.	50
حدد الطول الأقصى $L$ لسلسلة $a_1,\dots,a_L$ من الأعداد الصحيحة الموجبة التي تفي بالشرطين التاليين: كل حد في السلسلة أقل من أو يساوي $2^{2023}$، ولا يوجد سلسلة جزئية متتالية $a_i,a_{i+1},\dots,a_j$ (حيث $1\le i\le j\le L$) يمكن اختيار إشارات $s_i,s_{i+1},\dots,s_j\in\{1,-1\}$ لها بحيث\[s_ia_i+s_{i+1}a_{i+1}+\dots+s_ja_j=0.\]	$2^{2024} - 1$
لنفرض أن $n\geqslant 2$ هو عدد صحيح موجب. لدى بول شريط مستطيل أبعاده $1\times n^2$ يحتوي على $n^2$ مربعات الوحدة، حيث يرمز للمربع الـ $i^{\text{th}}$ بالرقم $i$ لكل $1\leqslant i\leqslant n^2$. يرغب بول في تقطيع الشريط إلى عدة قطع، حيث تتكون كل قطعة من عدة مربعات الوحدة المتتالية، ثم ينقل (بدون تدوير أو قلب) القطع للحصول على مربع أبعاده $n\times n$ يحقق الخاصية التالية: إذا كان المربع الوحيد في الصف $i^{\text{th}}$ والعمود $j^{\text{th}}$ مرموز له بـ $a_{ij}$، فإن $a_{ij}-(i+j-1)$ قابل للقسمة على $n$. حدد أصغر عدد من القطع التي يحتاج بول لإعدادها لتحقيق ذلك.	$2n - 1$
يتكون أرخبيل إيمومي من $n\geq 2$ جزر. بين كل زوج من الجزر المختلفة خط عبّارات فريد يعمل في كلا الاتجاهين، ويتم تشغيل كل خط عبّارات من قبل واحدة من $k$ شركات. من المعروف أنه إذا أغلقت أي واحدة من الشركات $k$ جميع خطوط عبّاراتها، يصبح من المستحيل على المسافر، بغض النظر عن مكان بداية رحلته، زيارة جميع الجزر مرة واحدة فقط (وخاصة، دون العودة إلى الجزيرة التي بدأ منها المسافر). حدد القيمة القصوى الممكنة لـ $k$ من حيث $n$.	$\lfloor \log_{2}n \rfloor$
لتكن $a_1, \dots, a_n, b_1, \dots, b_n$ هي $2n$ أعداد صحيحة موجبة بحيث أن $n+1$ من النتائج \[a_1 a_2 a_3 \cdots a_n, b_1 a_2 a_3 \cdots a_n, b_1 b_2 a_3 \cdots a_n, \dots, b_1 b_2 b_3 \cdots b_n\] تشكل متتالية حسابية متزايدة بترتيب صارم. حدد أصغر عدد صحيح ممكن أن يكون هو الفرق المشترك لمثل هذه المتتالية الحسابية.	$n!$
ليكن $k\ge2$ عددًا صحيحًا. أوجد أصغر عدد صحيح $n \ge k+1$ بحيث يوجد مجموعة مكونة من $n$ عددًا حقيقيًا مميزًا بحيث يمكن كتابة كل عنصر منها كمجموع $k$ عناصر أخرى مميزة من المجموعة.	$k + 4$
