Turbo si siput bermain permainan di atas papan dengan $2024$ baris dan $2023$ lajur. Terdapat raksasa tersembunyi dalam $2022$ sel. Pada mulanya, Turbo tidak tahu di mana raksasa-raksasa itu berada, tetapi dia tahu bahawa terdapat tepat satu raksasa dalam setiap baris kecuali baris pertama dan baris terakhir, serta setiap lajur mengandungi paling banyak satu raksasa. Turbo membuat beberapa percubaan untuk pergi dari baris pertama ke baris terakhir. Dalam setiap percubaan, dia boleh memilih untuk bermula di mana-mana sel dalam baris pertama, kemudian bergerak berulang kali ke sel yang bersebelahan yang berkongsi sisi yang sama. (Dia dibenarkan kembali ke sel yang telah dikunjungi sebelum ini.) Jika dia sampai ke sel yang mengandungi raksasa, percubaannya berakhir dan dia dihantar semula ke baris pertama untuk memulakan percubaan baharu. Raksasa-raksasa ini tidak bergerak, dan Turbo mengingati sama ada setiap sel yang telah dia kunjungi mengandungi raksasa atau tidak. Jika dia sampai ke mana-mana sel dalam baris terakhir, percubaannya berakhir dan permainan akan tamat. Tentukan nilai minimum $n$ supaya Turbo mempunyai strategi yang menjamin mencapai baris terakhir pada percubaan ke-$n$ atau lebih awal, tanpa mengambil mengira lokasi raksasa-raksasa tersebut.	3
Katakan $\mathbb{Q}$ menjadi himpunan nombor rasional. Fungsi $f: \mathbb{Q} \to \mathbb{Q}$ dipanggil aquaesulian jika sifat berikut dipenuhi: untuk setiap $x,y \in \mathbb{Q}$,\[ f(x+f(y)) = f(x) + y \quad \text{or} \quad f(f(x)+y) = x + f(y). \]Buktikan bahawa terdapat satu integer $c$ sedemikian rupa sehingga bagi mana-mana fungsi aquaesulian $f$, terdapat paling banyak $c$ nombor rasional yang berbeza dalam bentuk $f(r) + f(-r)$ untuk beberapa nombor rasional $r$, dan cari nilai terkecil yang mungkin bagi $c$.	2
Katakan $n$ menjadi satu integer positif. Sebuah segi tiga Jepun terdiri daripada $1 + 2 + \dots + n$ bulatan yang disusun dalam bentuk segi tiga sama sisi sehingga untuk setiap $i = 1$, $2$, $\dots$, $n$, barisan $i^{th}$ mengandungi tepat $i$ bulatan, yang mana satu daripadanya diwarnakan merah. Laluan ninja dalam segi tiga Jepun adalah jujukan $n$ bulatan yang diperoleh dengan memulakan di barisan atas, kemudian sentiasa bergerak dari satu bulatan ke salah satu daripada dua bulatan yang berada di bawahnya secara langsung dan tamat di barisan bawah. Ini adalah contoh segi tiga Jepun dengan $n = 6$, bersama dengan laluan ninja dalam segi tiga tersebut yang mengandungi dua bulatan merah. [asy] // credit to vEnhance for the diagram (which was better than my original asy): size(4cm);  pair X = dir(240); pair Y = dir(0);  path c = scale(0.5)*unitcircle;  int[] t = {0,0,2,2,3,0};  for (int i=0; i < =5; ++i) {     for (int j=0; j < =i; ++j) {  filldraw(shift(i*X+j*Y)*c, (t[i]==j) ? lightred : white);  draw(shift(i*X+j*Y)*c);     }  }  draw((0,0)--(X+Y)--(2*X+Y)--(3*X+2*Y)--(4*X+2*Y)--(5*X+2*Y),linewidth(1.5));  path q = (3,-3sqrt(3))--(-3,-3sqrt(3));  draw(q,Arrows(TeXHead, 1));  label("<span class="math-blue">$n = 6$</span>", q, S); label("<span class="math-blue">$n = 6$</span>", q, S); [/asy] Dalam istilah $n$, cari $k$ terbesar sehingga dalam setiap segi tiga Jepun terdapat satu laluan ninja yang mengandungi sekurang-kurangnya $k$ bulatan merah.	$\lfloor \log_{2} n  \rfloor + 1$
Katakan $n$ menjadi integer positif. Sebuah papan Nordic adalah papan $n \times n$ yang mengandungi semua integer dari $1$ hingga $n^2$ supaya setiap sel mengandungi tepat satu nombor. Dua sel yang berbeza dianggap bersebelahan jika mereka berkongsi sisi yang sama. Setiap sel yang hanya bersebelahan dengan sel yang mengandungi nombor yang lebih besar disebut lembah. Laluan mendaki adalah satu jujukan satu atau lebih sel seperti: (i) sel pertama dalam jujukan adalah lembah, (ii) setiap sel berikutnya dalam jujukan bersebelahan dengan sel sebelumnya, dan (iii) nombor-nombor yang ditulis dalam sel-sel dalam jujukan adalah dalam susunan menaik. Cari, sebagai fungsi $n$, jumlah terkecil kemungkinan laluan mendaki dalam papan Nordic.	$2n^2 - 2n + 1$
Profesor Oak sedang memberi makan kepada $100$ Pokémonnya. Setiap Pokémon mempunyai sebiji mangkuk dengan kapasiti dalam kilogram yang merupakan nombor nyata positif. Kapasiti ini diketahui oleh Profesor Oak. Jumlah keseluruhan kapasiti semua mangkuk adalah $100$ kilogram. Profesor Oak mengagihkan $100$ kilogram makanan sehingga setiap Pokémon menerima bilangan kilogram makanan yang merupakan integer bukan negatif (yang mungkin lebih besar daripada kapasiti mangkuk). Tahap ketidakpuasan bagi seorang Pokémon yang menerima $N$ kilogram makanan dan mempunyai kapasiti mangkuk sebanyak $C$ kilogram diberikan oleh $\lvert N-C\rvert$. Cari nombor nyata terkecil $D$ sedemikian rupa sehingga, tanpa mengira kapasiti mangkuk, Profesor Oak boleh mengagihkan makanan supaya jumlah keseluruhan tahap ketidakpuasan bagi semua $100$ Pokémon tidak melebihi $D$.	50
Tentukan panjang maksimum $L$ bagi suatu jujukan $a_1,\dots,a_L$ yang terdiri daripada nombor-nombor bulat positif yang memenuhi kedua-dua syarat berikut: setiap sebutan dalam jujukan itu kurang daripada atau sama dengan $2^{2023}$, dan tidak terdapat subjujukan berturutan $a_i,a_{i+1},\dots,a_j$ (di mana $1\le i\le j\le L$) dengan pilihan tanda $s_i,s_{i+1},\dots,s_j\in\{1,-1\}$ yang memenuhi\[s_ia_i+s_{i+1}a_{i+1}+\dots+s_ja_j=0.\]	$2^{2024} - 1$
Katakan $n\geqslant 2$ adalah integer positif. Paul mempunyai jalur segi empat tepat $1\times n^2$ yang terdiri daripada $n^2$ petak unit, di mana petak ke $i^{\text{th}}$ dilabelkan dengan $i$ untuk semua $1\leqslant i\leqslant n^2$. Dia ingin memotong jalur tersebut kepada beberapa bahagian, di mana setiap bahagian terdiri daripada beberapa petak unit berturut-turut, kemudian menterjemah (tanpa memutar atau membalik) bahagian-bahagian tersebut untuk menghasilkan petak $n\times n$ yang memenuhi sifat berikut: jika petak unit di baris ke $i^{\text{th}}$ dan lajur ke $j^{\text{th}}$ dilabelkan dengan $a_{ij}$, maka $a_{ij}-(i+j-1)$ adalah boleh dibahagikan dengan $n$. Tentukan bilangan bahagian terkecil yang perlu Paul hasilkan untuk mencapai ini.	$2n - 1$
Kepulauan Imomi terdiri daripada $n\geq 2$ pulau. Di antara setiap pasangan pulau yang berbeza adalah laluan feri unik yang berjalan di kedua-dua arah dan setiap laluan feri dikendalikan oleh salah satu syarikat $k$. Diketahui bahawa jika mana-mana syarikat $k$ menutup semua laluan ferinya, maka menjadi mustahil bagi pelancong, tidak kira di mana mereka bermula, untuk melawat semua pulau sekali sahaja (khususnya, tidak kembali ke pulau yang dimulakan oleh pelancong). Tentukan nilai maksimal yang mungkin bagi $k$ dalam istilah $n$.	$\lfloor \log_{2}n \rfloor$
Diberi $a_1, \dots, a_n, b_1, \dots, b_n$ sebagai $2n$ nombor bulat positif sedemikian rupa sehingga $n+1$ produk berikut \[a_1 a_2 a_3 \cdots a_n, b_1 a_2 a_3 \cdots a_n, b_1 b_2 a_3 \cdots a_n, \dots, b_1 b_2 b_3 \cdots b_n\] membentuk satu janjang aritmetik yang semakin meningkat dalam susunan tersebut. Tentukan nombor bulat terkecil yang boleh menjadi beza sepunya bagi janjang aritmetik tersebut.	$n!$
Katakan $k\ge2$ adalah suatu integer. Cari integer terkecil $n \ge k+1$ yang memiliki sifat bahawa terdapat satu set yang terdiri daripada $n$ nombor nyata yang berbeza sehingga setiap unsur dalam set tersebut boleh ditulis sebagai jumlah $k$ unsur lain yang berbeza dalam set tersebut.	$k + 4$
