Turbo si siput memainkan permainan di papan dengan $2024$ baris dan $2023$ kolom. Ada monster-monster tersembunyi di $2022$ sel. Awalnya, Turbo tidak tahu lokasi monster-monster tersebut, namun ia tahu bahwa ada tepat satu monster di setiap baris kecuali baris pertama dan baris terakhir, dan setiap kolom mengandung paling banyak satu monster. Turbo mencoba berangkat dari baris pertama ke baris terakhir. Pada setiap pencobaan, ia memilih untuk memulai pada sel mana pun di baris pertama, kemudian berulang bergerak ke sel yang berbatasan sisi yang sama. (Ia diizinkan untuk kembali ke sel yang telah dikunjungi sebelumnya.) Jika ia mencapai sel yang terdapat monster, pencobaannya berakhir dan ia diangkut kembali ke baris pertama untuk mencoba lagi. Monster-monster tersebut tidak bergerak, dan Turbo mengingat apakah setiap sel yang telah dikunjungi mengandung monster atau tidak. Jika ia mencapai sel mana pun di baris terakhir, pencobaannya berakhir dan permainan ini selesai. Tentukan nilai minimum dari $n$ yang menjamin bahwa Turbo memiliki strategi untuk mencapai baris terakhir pada pencobaan ke-$n$ atau lebih awal, terlepas dari lokasi monster-monster tersebut.	3
Misalkan $\mathbb{Q}$ adalah himpunan bilangan rasional. Sebuah fungsi $f: \mathbb{Q} \to \mathbb{Q}$ disebut aquaesulian jika memiliki properti berikut: untuk setiap $x, y \in \mathbb{Q}$,\[ f(x+f(y)) = f(x) + y \quad \text{atau} \quad f(f(x)+y) = x + f(y). \]Tunjukkan bahwa terdapat sebuah bilangan bulat $c$ sehingga untuk setiap fungsi aquaesulian $f$ terdapat paling banyak $c$ bilangan rasional berbeda dalam bentuk $f(r) + f(-r)$ , dan $r$ adalah sesuatu bilangan rasional, dan cari nilai terkecil yang mungkin dari $c$.	2
Diberikan $n$ bilangan bulat positif. Sebuah segitiga Jepang terdiri dari $1 + 2 + \dots + n$ lingkaran yang disusun dalam bentuk segitiga sama sisi sedemikian rupa. Untuk setiap $i = 1$, $2$, $\dots$, $n$, baris ke-$i$ berisi tepat $i$ lingkaran, di mana tepat satu di antaranya berwarna merah. Sebuah jalur ninja dalam segitiga Jepang adalah urutan $n$ lingkaran yang diperoleh dengan memulai dari baris atas, kemudian berulang kali berpindah dari satu lingkaran ke salah satu dari dua lingkaran yang berada tepat di bawahnya dan berakhir di baris bawah. Berikut adalah contoh segitiga Jepang dengan $n = 6$, bersama dengan jalur ninja dalam segitiga tersebut yang mengandung dua lingkaran merah. [asy] // kredit kepada vEnhance untuk diagramnya (yang lebih baik daripada diagram asli saya): size(4cm);  pair X = dir(240); pair Y = dir(0);  path c = scale(0.5)*unitcircle;  int[] t = {0,0,2,2,3,0};  for (int i=0; i<=5; ++i) {     for (int j=0; j<=i; ++j) {  filldraw(shift(i*X+j*Y)*c, (t[i]==j) ? lightred : white);  draw(shift(i*X+j*Y)*c);     }  }  draw((0,0)--(X+Y)--(2*X+Y)--(3*X+2*Y)--(4*X+2*Y)--(5*X+2*Y),linewidth(1.5));  path q = (3,-3sqrt(3))--(-3,-3sqrt(3));  draw(q,Arrows(TeXHead, 1));  label("$n = 6$", q, S); label("$n = 6$", q, S); [/asy] Dalam hal $n$, temukan $k$ terbesar sedemikian rupa sehingga dalam setiap segitiga Jepang terdapat jalur ninja yang mengandung setidaknya $k$ lingkaran merah.	$\lfloor \log_{2} n  \rfloor + 1$
Diberikan $n$ sebagai bilangan bulat positif. Sebuah persegi Nordik adalah papan berukuran $n \times n$ yang berisi semua bilangan bulat dari $1$ hingga $n^2$ sehingga setiap sel berisi tepat satu angka. Dua sel yang berbeda dianggap berdampingan jika mereka berbagi satu sisi yang sama. Setiap sel yang hanya berdampingan dengan sel-sel yang berisi angka yang lebih besar disebut lembah. Sebuah jalan mendaki adalah urutan dari satu atau lebih sel dengan syarat berikut: (i) sel pertama dalam urutan tersebut adalah lembah, (ii) setiap sel berikutnya dalam urutan tersebut berdampingan dengan sel sebelumnya, dan (iii) angka-angka yang tertulis pada sel-sel dalam urutan tersebut dalam urutan menaik. Temukan, sebagai fungsi dari $n$, jumlah total minimum dari jalan mendaki yang mungkin ada di sebuah persegi Nordik.	$2n^2 - 2n + 1$
Profesor Oak memberi makanan kepada $100$ Pokémon miliknya. Setiap Pokémon memiliki satu mangkuk dengan kapasitas berupa bilangan real positif (ukuran: kilogram). Kapasitas ini diketahui oleh Profesor Oak. Total kapasitas semua mangkuk adalah $100$ kilogram. Profesor Oak membagikan makanan seberat $100$ kilogram sedemikian rupa sehingga setiap Pokémon menerima makanan seberat bilangan bulat non-negatif kilogram (yang mungkin lebih besar daripada kapasitas mangkuk tersebut). Tingkat ketidakpuasan satu Pokémon yang menerima $N$ kilogram makanan dan mangkuknya memiliki kapasitas $C$ kilogram adalah sama dengan $\lvert N-C\rvert$.  Temukan bilangan real terkecil $D$ sehingga, terlepas dari kapasitas mangkuk, Profesor Oak dapat membagikan makanan dengan cara tertentu sehingga jumlah tingkat ketidakpuasan dari semua $100$ Pokémon paling banyak sebesar $D$.	50
Tentukan panjang maksimal $L$ dari suatu urutan $a_1,\dots,a_L$ yang terdiri dari bilangan bulat positif yang memenuhi kedua sifat berikut: setiap suku dalam urutan tersebut kurang dari atau sama dengan $2^{2023}$, dan  tidak ada subsekuens berurutan $a_i,a_{i+1},\dots,a_j$ (dengan $1\le i\le j\le L$) dengan pilihan tanda $s_i,s_{i+1},\dots,s_j\in\{1,-1\}$ untuk mana \[s_ia_i+s_{i+1}a_{i+1}+\dots+s_ja_j=0.\]	$2^{2024} - 1$
Misalkan $n\geqslant 2$ adalah bilangan bulat positif. Paul memiliki sebuah pita persegi panjang berukuran $1\times n^2$ yang terdiri dari $n^2$ kotak satuan, dimana kotak ke-$i$ diberi label $i$ untuk semua $1\leqslant i\leqslant n^2$. Dia ingin memotong pita tersebut menjadi beberapa potongan, di mana setiap potongan terdiri dari sejumlah kotak satuan berturut-turut, lalu memindahkan (tanpa memutar atau membalik) potongan-potongan tersebut untuk membentuk sebuah persegi berukuran $n\times n$ yang memenuhi properti berikut: jika kotak satuan di baris ke-$i$ dan kolom ke-$j$ diberi label $a_{ij}$, maka $a_{ij}-(i+j-1)$ habis dibagi oleh $n$. Tentukan jumlah potongan paling sedikit yang harus Paul buat untuk mencapai ini.	$2n - 1$
Kepulauan Imomi terdiri dari $n\geq 2$ pulau. Antara setiap pasangan pulau yang berbeda terdapat satu jalur feri unik yang beroperasi di kedua arah, dan setiap jalur feri dioperasikan oleh salah satu dari $k$ perusahaan. Diketahui bahwa jika salah satu dari $k$ perusahaan menutup semua jalur ferinya, jadi tidak peduli dari mana pelancong tersebut memulai bagi seorang pelancong, dia tidak mungkin  mengunjungi semua pulau tepat satu kali (khususnya, tanpa kembali ke pulau tempat pelancong memulai). Tentukan nilai maksimum dari $k$ dalam hal $n$.	$\lfloor \log_{2}n \rfloor$
Misalkan $a_1, \dots, a_n, b_1, \dots, b_n$ adalah $2n$ bilangan bulat positif sedemikian rupa sehingga $n+1$ hasil kali \[a_1 a_2 a_3 \cdots a_n, b_1 a_2 a_3 \cdots a_n, b_1 b_2 a_3 \cdots a_n, \dots, b_1 b_2 b_3 \cdots b_n\] membentuk sebuah deret aritmatika yang semakin meningkat secara ketat dalam urutan tersebut. Tentukan bilangan bulat terkecil yang mungkin menjadi selisih tetap dari deret aritmatika tersebut.	$n!$
Misalkan $k\ge2$ adalah bilangan bulat. Temukan bilangan bulat terkecil $n \ge k+1$ yang memiliki sifat bahwa terdapat himpunan $n$ bilangan real yang berbeda sehingga setiap elemennya dapat  sebagai jumlah dari $k$ elemen berbeda lainnya dari himpunan tersebut.	$k + 4$
