ターボというカタツムリが、$2024$行と$2023$列のボード上でゲームをします。$2022$個のセルには隠れたモンスターが存在します。ターボは最初、モンスターの位置を知りませんが、各行には第1行目と最終行を除いて正確に1つのモンスターが存在し、各列には最大1つのモンスターが含まれることを知っています。 ターボは第1行目から最終行まで行こうとする一連の試みを行います。各試みで、彼は第1行目の任意のセルから始め、続いて隣接するセルに側を共有する形で移動し続けます（以前に訪れたセルに戻ることもできます）。もしモンスターがいるセルに到達した場合、その試みは終了し、彼は新しい試みを開始するために第1行目に戻されます。モンスターは動かず、ターボは訪れた各セルにモンスターがいるかどうかを記憶します。もし彼が最終行の任意のセルに到達した場合、その試みは終了し、ゲームも終了します。 ターボがどのようなモンスターの位置の場合でも、$n$回目以内に最終行に到達することを保証する戦略を持てるような、$n$の最小値を求めなさい。	3
$\mathbb{Q}$ を有理数の集合としする。関数 $f: \mathbb{Q} \to \mathbb{Q}$ は次の性質を満たすとき「aquaesulian」 と呼ばれます。すべての $x,y \in \mathbb{Q}$ に対して、\[ f(x+f(y)) = f(x) + y \quad \text{または} \quad f(f(x)+y) = x + f(y). \]が成り立つ。任意 aquaesulian 関数 $f$ に対して、ある整数 $c$ が存在し、いくつかの有理数 $r$ に対して $f(r) + f(-r)$ という形の異なる有理数が高々 $c$ 個しか存在しないことを示し、$c$ の最小の値を求めよ。	2
正の整数 $n$ を考える。日本の三角形とは、正三角形の形に並べられた $1 + 2 + \dots + n$ 個の円のことであり、各 $i = 1$, $2$, $\dots$, $n$ に対して、第 $i^{th}$ 行にはちょうど $i$ 個の円があり、そのうちちょうど1つが赤く塗られているものを指す。忍者の道とは、日本の三角形において、最上行の円から始まり、その下にある2つの円のいずれかを繰り返し選びながら最下行の円まで至る $n$ 個の円の列のことである。以下に、$n = 6$ の日本の三角形と、その中で2つの赤い円を含む忍者の道の例を示す。 [asy] // credit to vEnhance for the diagram (which was better than my original asy): size(4cm);  pair X = dir(240); pair Y = dir(0);  path c = scale(0.5)*unitcircle;  int[] t = {0,0,2,2,3,0};  for (int i=0; i<=5; ++i) {     for (int j=0; j<=i; ++j) {  filldraw(shift(i*X+j*Y)*c, (t[i]==j) ? lightred : white);  draw(shift(i*X+j*Y)*c);     }  }  draw((0,0)--(X+Y)--(2*X+Y)--(3*X+2*Y)--(4*X+2*Y)--(5*X+2*Y),linewidth(1.5));  path q = (3,-3sqrt(3))--(-3,-3sqrt(3));  draw(q,Arrows(TeXHead, 1));  label("$n = 6$", q, S); label("$n = 6$", q, S); [/asy] $n$ に関して、各日本の三角形において少なくとも $k$ 個の赤い円を含む忍者の道が存在するような最大の $k$ を求めよ。	$\lfloor \log_{2} n  \rfloor + 1$
$n$ を正の整数とします。ノルディックスクエアは、$1$ から $n^2$ までのすべての整数が含まれ、各セルに正確に一つの数が入っている $n \times n$ の盤です。共通の一辺を共有しているセルは、互いに隣接していると見なされます。より大きな数を含むセルにのみ隣接しているセルはすべて、谷と呼ばれます。上り坂パスとは、次の条件を満たす1つ以上のセルの列のことである： 1. 列の最初のセルは谷である。 2. 列の各マスは前のセルと隣接している。 3. 列のセルに書かれた数は増加する順になっている。 このとき、ノルディックスクエアにおける上り坂パスの総数の最小値を$n$ の関数として求めよ。	$2n^2 - 2n + 1$
オーキド博士は 100 匹のポケモンに餌を与えています。各ポケモンには、容量が正の実数キログラムのボウルがあります。これらの容量はオーキド博士に知られています。すべてのボウルの合計容量は 100 キログラムです。オーキド博士は、各ポケモンが非負整数キログラムの餌 (ボウルの容量より大きい場合もあります) を受け取るように 100 キログラムの餌を分配します。ボウルの容量が $C$キログラムで、$N$ キログラムの餌を受け取ったポケモンの不満レベルは、$\lvert N-C\rvert$ に等しくなります。 ボウルの容量に関係なく、オーキド博士が 100 匹のポケモン全体の不満レベルの合計が最大でも $D$ になるように餌を分配できる最小の実数 $D$ を求めなさい。	50
以下の条件を満たす正の整数列 $a_1, \dots, a_L$ の最大の長さ $L$ を求めなさい: 列の各項は $2^{2023}$ 以下であり、 連続する部分列 $a_i, a_{i+1}, \dots, a_j$ (ここで $1\le i\le j\le L$) について、符号 $s_i,s_{i+1},\dots,s_j \in \{1,-1\}$ の選択により\[s_ia_i+s_{i+1}a_{i+1}+\dots+s_ja_j=0.\] となる部分列が存在しない。	$2^{2024} - 1$
$n \geqslant 2$ を正の整数とする。ポールは $n^2$ 個の単位正方形からなる $1 \times n^2$ の長方形の帯を持っており、すべての $1 \leqslant i \leqslant n^2$ について、$i^{\text{th}}$ 番目の正方形には $i$ がラベル付けされている。この帯をいくつかの部分に切り、それぞれの部分が連続する単位正方形から成り立つようにし、次にそれらの部分を平行移動 (回転または反転せずに) して $n \times n$ の正方形を作りたい。このとき、もし $i^{\text{th}}$ 番目の行と $j^{\text{th}}$ 番目の列の単位正方形に $a_{ij}$ というラベルが付けられているとすると、$a_{ij}-(i+j-1)$ が $n$ で割り切れるという条件を満たす必要がある。 ポールがこれを達成するために必要な最小の部分数を求めよ。	$2n - 1$
イモミ諸島は $n\geq 2$ 個の島で構成されています。各異なる島の組み合わせの間には、両方向に運航するユニークなフェリー路線があります。そして、各フェリー路線は $k$ 社のうちの1社によって運営されています。もし $k$ 社のうちの1社がすべてのフェリー路線を閉鎖した場合、旅行者がどこから出発してもすべての島を一度ずつ（特に出発地点に戻らずに）訪れることが不可能になることがわかっています。この条件のもとで、$k$ の最大値を $n$ に関して求めなさい。	$\lfloor \log_{2}n \rfloor$
$a_1, \dots, a_n, b_1, \dots, b_n$ を $2n$ 個の正の整数とする。このとき、$n+1$ 個の積 \[a_1 a_2 a_3 \cdots a_n, b_1 a_2 a_3 \cdots a_n, b_1 b_2 a_3 \cdots a_n, \dots, b_1 b_2 b_3 \cdots b_n\] がこの順序で厳密に増加する等差数列を形成すると仮定する。このような等差数列の公差としてあり得る最小の整数を求めよ。	$n!$
次の条件を満たすような最小の整数 $n \ge k+1$ を求めよ。ここで、$k \ge 2$ は整数である。$n$ 個の異なる実数の集合が存在し、そのどの要素も集合内の他の $k$ 個の異なる要素の和として表すことができる。	$k + 4$
