Turbo la lumaca gioca su una scacchiera con $2024$ righe e $2023$ colonne. In $2022$ delle celle ci sono mostri nascosti. Inizialmente, Turbo non sa dove si trovano i mostri, ma sa che c'è esattamente un mostro in ogni riga eccetto la prima e l'ultima riga, e che ogni colonna contiene al massimo un mostro. Turbo fa una serie di tentativi per andare dalla prima riga all'ultima riga. Ad ogni tentativo, sceglie di iniziare su una qualsiasi cella nella prima riga, poi si muove ripetutamente verso una cella adiacente che condivide un lato comune. (Gli è permesso tornare in una cella visitata in precedenza.) Se raggiunge una cella con un mostro, il suo tentativo finisce e viene trasportato indietro alla prima riga per iniziare un nuovo tentativo. I mostri non si muovono, e Turbo ricorda se ciascuna cella che ha visitato contiene un mostro oppure no. Se raggiunge una qualsiasi cella nell'ultima riga, il suo tentativo finisce e il gioco è concluso. Determinare il valore minimo di $n$ per il quale Turbo ha una strategia che garantisce di raggiungere l'ultima riga al tentativo $n$-esimo o prima, indipendentemente dalla posizione dei mostri.	3
Sia $\mathbb{Q}$ l'insieme dei numeri razionali. Una funzione $f: \mathbb{Q} \to \mathbb{Q}$ è detta aquaesuliana se la seguente proprietà vale: per ogni $x,y \in \mathbb{Q}$\[ f(x+f(y)) = f(x) + y \quad \text{or} \quad f(f(x)+y) = x + f(y). \]Dimostrare che esiste un intero $c$ tale che per ogni funzione aquaesuliana $f$ ci sono al massimo $c$ numeri razionali diversi della forma $f(r) + f(-r)$ per qualche numero razionale $r$, e trovare il valore minimo possibile di $c$.	2
Sia $n$ un numero intero positivo. Un triangolo giapponese è composto da $1 + 2 + \dots + n$ cerchi disposti in una forma triangolare equilatera tale che per ogni $i = 1$, $2$, $\dots$, $n$, la $i^{th}$-esima riga contenga esattamente $i$ cerchi, uno dei quali è colorato di rosso. Un percorso ninja in un triangolo giapponese è una sequenza di $n$ cerchi ottenuta iniziando dalla riga superiore, passando ripetutamente da un cerchio a uno dei due cerchi immediatamente sotto di esso e terminando nella riga inferiore. Ecco un esempio di un triangolo giapponese con $n = 6$, insieme a un percorso ninja in quel triangolo contenente due cerchi rossi. [asy] // credit to vEnhance for the diagram (which was better than my original asy): size(4cm);  pair X = dir(240); pair Y = dir(0);  path c = scale(0.5)*unitcircle;  int[] t = {0,0,2,2,3,0};  for (int i=0; i<=5; ++i) {     for (int j=0; j<=i; ++j) {  filldraw(shift(i*X+j*Y)*c, (t[i]==j) ? lightred : white);  draw(shift(i*X+j*Y)*c);     }  }  draw((0,0)--(X+Y)--(2*X+Y)--(3*X+2*Y)--(4*X+2*Y)--(5*X+2*Y),linewidth(1.5));  path q = (3,-3sqrt(3))--(-3,-3sqrt(3));  draw(q,Arrows(TeXHead, 1));  label("$n = 6$", q, S); label("$n = 6$", q, S); [/asy] In termini di $n$, trova il più grande $k$ tale che in ogni triangolo giapponese ci sia un percorso ninja contenente almeno $k$ cerchi rossi.	$\lfloor \log_{2} n  \rfloor + 1$
Sia $n$ un intero positivo. Un quadrato nordico è una griglia $n \times n$ che contiene tutti gli interi da $1$ a $n^2$ in modo tale che ogni cella contenga esattamente un numero. Due celle diverse sono considerate adiacenti se condividono un lato comune. Ogni cella che è adiacente solo a celle contenenti numeri maggiori è chiamata valle. Un percorso in salita è una sequenza di una o più celle tale che: (i) la prima cella della sequenza è una valle, (ii) ogni cella successiva nella sequenza è adiacente alla cella precedente, e (iii) i numeri scritti nelle celle della sequenza sono in ordine crescente. Trova, in funzione di $n$, il numero totale più piccolo possibile di percorsi in salita in un quadrato nordico.	$2n^2 - 2n + 1$
Il Professor Oak sta dando da mangiare ai suoi $100$ Pokémon. Ogni Pokémon ha una ciotola la cui capacità è un numero reale positivo di chilogrammi. Queste capacità sono conosciute dal Professor Oak. La capacità totale di tutte le ciotole è di $100$ chilogrammi. Il Professor Oak distribuisce $100$ chilogrammi di cibo in modo tale che ogni Pokémon riceva un numero intero non negativo di chilogrammi di cibo (che può essere maggiore della capacità della ciotola). Il livello di insoddisfazione di un Pokémon che ha ricevuto $N$ chilogrammi di cibo e la cui ciotola ha una capacità di $C$ chilogrammi è uguale a $\lvert N-C\rvert$. Trova il numero reale più piccolo $D$ tale che, indipendentemente dalle capacità delle ciotole, il Professor Oak possa distribuire il cibo in modo che la somma dei livelli di insoddisfazione di tutti i $100$ Pokémon non superi $D$.	50
Determinare la lunghezza massima $L$ di una sequenza $a_1,\dots,a_L$ di numeri interi positivi che soddisfa entrambe le seguenti proprietà: ogni termine della sequenza è minore o uguale a $2^{2023}$, e non esiste una sottosequenza consecutiva $a_i,a_{i+1},\dots,a_j$ (dove $1\le i\le j\le L$) con una scelta di segni $s_i,s_{i+1},\dots,s_j\in\{1,-1\}$ per cui\[s_ia_i+s_{i+1}a_{i+1}+\dots+s_ja_j=0.\]	$2^{2024} - 1$
Sia $n\geqslant 2$ un intero positivo. Paul ha una striscia rettangolare di dimensioni $1\times n^2$ composta da $n^2$ quadrati unitari, dove il $i^{\text{th}}$ quadrato è etichettato con $i$ per tutti $1\leqslant i\leqslant n^2$. Egli desidera tagliare la striscia in diversi pezzi, dove ciascun pezzo è costituito da un numero di quadrati unitari consecutivi, e poi traslare (senza ruotare o capovolgere) i pezzi per ottenere un quadrato $n\times n$ che soddisfi la seguente proprietà: se il quadrato unitario nella  $i^{\text{th}}$ riga e $j^{\text{th}}$ colonna è etichettato con $a_{ij}$, allora $a_{ij}-(i+j-1)$ è divisibile per $n$. Determina il numero minimo di pezzi che Paul deve fare per realizzare questo.	$2n - 1$
L'arcipelago di Imomi consiste di $n\geq 2$ isole. Tra ogni coppia di isole distinte c'è una linea di traghetti unica che opera in entrambe le direzioni, e ciascuna linea di traghetti è gestita da una delle $k$ compagnie. È noto che se una qualsiasi delle $k$ compagnie chiude tutte le sue linee di traghetti, allora diventa impossibile per un viaggiatore, indipendentemente da dove inizi, visitare tutte le isole esattamente una volta (in particolare, senza ritornare all'isola da cui è partito). Determinare il valore massimo possibile di $k$ in funzione di $n$.	$\lfloor \log_{2}n \rfloor$
Siano $a_1, \dots, a_n, b_1, \dots, b_n$ $2n$ numeri interi positivi tali che i $n+1$ prodotti \[a_1 a_2 a_3 \cdots a_n, b_1 a_2 a_3 \cdots a_n, b_1 b_2 a_3 \cdots a_n, \dots, b_1 b_2 b_3 \cdots b_n\] formino una progressione aritmetica strettamente crescente in quell'ordine. Determina il più piccolo intero possibile che potrebbe essere la differenza comune di una tale progressione aritmetica.	$n!$
Sia $k\ge2$ un numero intero. Trova il più piccolo intero $n \ge k+1$ con la proprietà che esista un insieme di $n$ numeri reali distinti tale che ciascuno dei suoi elementi possa essere scritto come somma di altri $k$ elementi distinti dell'insieme.	$k + 4$
