টার্বো নামের শামুক একটি বোর্ডে একটি খেলা খেলে যেখানে $2024$ টি সারি এবং $2023$ টি কলাম রয়েছে। $2022$ টি ঘরে লুকানো দানব রয়েছে। প্রাথমিকভাবে, টার্বো জানে না দানবগুলো কোথায় আছে, তবে সে জানে যে প্রথম এবং শেষ সারি ব্যতীত প্রতিটি সারিতে ঠিক একটি করে দানব আছে এবং প্রতিটি কলামে একটির বেশি দানব নেই। টার্বো প্রথম সারি থেকে শেষ সারিতে যাওয়ার জন্য একাধিক প্রচেষ্টা চালায়। প্রতিটি প্রচেষ্টায়, সে প্রথম সারির যেকোনো একটি ঘর থেকে শুরু করতে পারে, এবং বারবার এমন সংলগ্ন ঘরে যেতে পারে, যার সাথে সাধারণ একটি পার্শ্ব ভাগ করে। (সে পূর্বে পরিদর্শন করা ঘরে ফিরে যেতে পারে)। যদি সে কোনো দানবসহ ঘরে পৌঁছায়, তার চেষ্টা শেষ হয় এবং তাকে নতুন প্রচেষ্টা শুরু করতে প্রথম সারিতে ফিরিয়ে আনা হয়। দানবগুলো নড়ে না, এবং টার্বো মনে রাখে যে সে কোন কোন ঘর পরিদর্শন করেছে যাতে দানব আছে কিনা। যদি সে শেষ সারির কোনো ঘরে পৌঁছায়, তবে তার প্রচেষ্টা শেষ হয় এবং খেলা শেষ হয়ে যায়। $n$-এর ন্যূনতম মান নির্ধারণ করুন, যার জন্য টার্বোর এমন একটি কৌশল রয়েছে যা দানবগুলোর অবস্থান যাই হোক না কেন, নিশ্চিতভাবে $n$-তম প্রচেষ্টা বা তার আগেই শেষ সারিতে পৌঁছাতে সক্ষম হবে।।	3
ধরা যাক $\mathbb{Q}$ যুক্তিসংগত সেট। একটি ফাংশন $f: \mathbb{Q} \to \mathbb{Q}$ অ্যাকোয়েসুলিয়ান বলা হয় যদি নিম্নোক্ত বৈশিষ্ট্যটি ধরে থাকে: যেকোনো $x,y \in \mathbb{Q}$,\[ f(x+f(y)) = f(x) + y \quad \text{or} \quad f(f(x)+y) = x + f(y). \] প্রমাণ করুন যে এমন একটি পূর্ণসংখ্যা $c$ বিদ্যমান যা কোনো অ্যাকোয়েসুলিয়ান ফাংশন $f$ এর জন্য $f(r) + f(-r)$ আকারের যুক্তিসংগত সংখ্যার সর্বাধিক $c$ টি বিভিন্ন মান রয়েছে যেখানে $r$ একটি যুক্তিসংগত সংখ্যা, এবং $c$-এর ক্ষুদ্রতম সম্ভাব্য মান নির্ণয় করুন।	2
ধরি $n$ একটি ধনাত্মক পূর্ণসংখ্যা। একটি জাপানি ত্রিভুজ $1 + 2 + \dots + n$ বৃত্ত নিয়ে গঠিত, যেগুলোকে সমবাহু ত্রিভুজ এর আকারে এমনভাবে সাজানো হয় যে প্রতি $i = 1$, $2$, $\dots$, $n$ এর জন্য $i^{th}$ সারিতে ঠিক $i$টি বৃত্ত থাকে এবং এর মধ্যে ঠিক একটি বৃত্ত লাল রঙের হয়। একটি জাপানি ত্রিভুজে একটি নিনজা পথ হলো $n$ বৃত্তের একটি ক্রম, যা শীর্ষ সারি থেকে শুরু হয়, তারপর ক্রমান্বয়ে একটি বৃত্ত থেকে দুটি নিচের বৃত্তের যে কোন একটিতে চলে যায় এবং শেষ হয় নিচের সারিতে। নিচে $n = 6$ একটি জাপানি ত্রিভুজ এবং তাতে একটি নিনজা পথের উদাহরণ দেখানো হয়েছে, যেখানে দুটি লাল বৃত্ত রয়েছে। [asy] // credit to vEnhance for the diagram (which was better than my original asy): size(4cm);  pair X = dir(240); pair Y = dir(0);  path c = scale(0.5)*unitcircle;  int[] t = {0,0,2,2,3,0};  for (int i=0; i < =5; ++i) {     for (int j=0; j < =i; ++j) {  filldraw(shift(i*X+j*Y)*c, (t[i]==j) ? lightred : white);  draw(shift(i*X+j*Y)*c);     }  }  draw((0,0)--(X+Y)--(2*X+Y)--(3*X+2*Y)--(4*X+2*Y)--(5*X+2*Y),linewidth(1.5));  path q = (3,-3sqrt(3))--(-3,-3sqrt(3));  draw(q,Arrows(TeXHead, 1));  label("<span class="math-blue">$n = 6$</span>", q, S); label("<span class="math-blue">$n = 6$</span>", q, S); [/asy] $n$-এর শর্তানুসারে, $k$ এর সর্বাধিক মান নির্ণয় করুন যাতে প্রতিটি জাপানি ত্রিভুজে এমন একটি নিনজা পথ থাকে যা কমপক্ষে $k$টি লাল বৃত্ত ধারণ করে।	$\lfloor \log_{2} n  \rfloor + 1$
"ধরা যাক $n$ একটি ধনাত্মক পূর্ণ সংখ্যা। একটি নর্ডিক বর্গক্ষেত্র হল $n \times n$ বোর্ড যা $1$ থেকে $n^2$ সব পূর্ণ সংখ্যা ধারণ করে যাতে প্রতিটি কক্ষে শুধুমাত্র একটি সংখ্যা থাকে। দুটি ভিন্ন কক্ষকে সংলগ্ন গণ্য করা হয় যদি তাদের একটি সাধারণ পার্শ্ব থাকে। যেকোন কক্ষ যা শুধুমাত্র বড় সংখ্যাযুক্ত কক্ষগুলির সাথে সংলগ্ন সেটাকে একটি উপত্যকা বলা হয়। একটি উত্থানপথ হল এক বা একাধিক কক্ষের একটি ক্রম যাতে: (i) ক্রমের প্রথম কক্ষটি একটি উপত্যকা হয়, (ii) ক্রমের প্রতিটি পরবর্তী কক্ষটি পূর্ববর্তী কক্ষের সাথে সংলগ্ন হয়, এবং (iii) ক্রমের কক্ষগুলিতে লেখা সংখ্যাগুলি বর্ধমান ক্রমে থাকে। $n$ এর একটি ফাংশন, একটি নর্ডিক বর্গক্ষেত্রে উত্থানপথগুলির সম্ভাব্য সর্বনিম্ন মোট সংখ্যা নির্ণয় করুন।"	$2n^2 - 2n + 1$
প্রফেসর ওক তার $100$ পোকেমনকে খাওয়াচ্ছেন। প্রত্যেকটি পোকেমনের একটি বাটি রয়েছে যার ধারণ ক্ষমতা কিলোগ্রামে একটি ধনাত্মক বাস্তব সংখ্যা। এই ধারণ ক্ষমতাগুলি প্রফেসর ওকের কাছে জানা আছে। সমস্ত বাটির মোট ধারণ ক্ষমতা $100$ কিলোগ্রাম। প্রফেসর ওক $100$ কিলোগ্রাম খাবার এভাবে ভাগ করেন যাতে প্রত্যেকটি পোকেমন অ-ঋণাত্মক পূর্ণসংখ্যা কিলোগ্রাম পরিমাণে খাবার পায় (যা বাটির ধারণ ক্ষমতার চেয়ে বেশি হতে পারে)। একজন পোকেমন যে $N$ কিলোগ্রাম খাবার পেয়েছে এবং যার বাটির ধারণ ক্ষমতা $C$ কিলোগ্রাম, তার অসন্তুষ্টির স্তর $\lvert N-C\rvert$ দিয়ে প্রকাশিত হয়। এখন, এমন ক্ষুদ্রতম বাস্তব সংখ্যা $D$ নির্ণয় করুন, যাতে বাটির ধারণ ক্ষমতাগুলির যেকোনো মান থাকলেও, প্রফেসর ওক খাবার এভাবে ভাগ করতে পারেন যাতে সমস্ত $100$ পোকেমনের অসন্তুষ্টির স্তরের যোগফল সর্বোচ্চ $D$ হয়।	50
ধনাত্মক পূর্ণসংখ্যা $a_1,\dots,a_L$ এর একটি অনুক্রমের সর্বাধিক দৈর্ঘ্য $L$ নির্ধারণ করুন যা নিচের দুইটি শর্ত পূরণ করে: অনুক্রমের প্রতিটি পদ $2^{2023}$ এর চেয়ে কম বা সমান, এবং অনুক্রমে এমন কোনো ধারাবাহিক উপ-অনুক্রম $a_i,a_{i+1},\dots,a_j$ (যেখানে $1\le i\le j\le L$) নেই যার জন্য $s_i,s_{i+1},\dots,s_j\in\{1,-1\}$ এর কোনো এক সেট চিহ্ন নিয়ে\[s_ia_i+s_{i+1}a_{i+1}+\dots+s_ja_j=0.\]পূরণ করে।	$2^{2024} - 1$
ধরা যাক $n\geqslant 2$ একটি ধনাত্মক পূর্ণসংখ্যা। পল এর একটি $1\times n^2$ আয়তাকার ফালা রয়েছে যা $n^2$ একক বর্গক্ষেত্র নিয়ে গঠিত, যেখানে $i^{\text{th}}$ বর্গক্ষেত্রটি $i$ দ্বারা চিহ্নিত করা হয়েছে সকল $1\leqslant i\leqslant n^2$ এর জন্য। তিনি ফালাটি কয়েকটি টুকরোই কেটে নিতে চান, যেখানে প্রতিটি টুকরো এক বা একাধিক পরপর একক বর্গক্ষেত্র নিয়ে গঠিত, এবং তারপর টুকরোগুলোকে কোনোরকম ঘোরানো বা উল্টানো ছাড়াই এমনভাবে স্থানান্তর করতে চান যাতে একটি $n\times n$ বর্গক্ষেত্র পাওয়া যায় নিম্নলিখিত শর্তটি পূরণসহ: যদি $i^{\text{th}}$ সারির এবং $j^{\text{th}}$ কলামের একক বর্গক্ষেত্রটি $a_{ij}$ দ্বারা চিহ্নিত হয়, তবে $a_{ij}-(i+j-1)$, $n$ দ্বারা বিভাজ্য হবে। পলকে এটি করার জন্য সর্বনিম্ন কতগুলি টুকরা করতে হবে তা নির্ধারণ করুন।	$2n - 1$
ইমোমি দ্বীপপুঞ্জে $n\geq 2$ দ্বীপ রয়েছে। প্রতিটি পৃথক দ্বীপজুড়ির মধ্যে একটি অনন্য ফেরি লাইন বিদ্যমান যা উভয় দিকেই চলে, এবং প্রতিটি ফেরি লাইন $k$ কম্পানির কোনো একটির দ্বারা পরিচালিত হয়। জানা গেছে, যদি $k$ কোম্পানির মধ্যে যেকোনো একটি তার সমস্ত ফেরি লাইন বন্ধ করে দেয় তবে তা ঐ ভ্রমণকারীর পক্ষে, সে যেখান থেকেই শুরু করুক না কেন, সমস্ত দ্বীপ একবার করে পরিদর্শন করা অসম্ভব হয়ে পড়ে (বিশেষ করে, যে দ্বীপ থেকে ভ্রমণ শুরু করা হয়েছিল সেখানে পুনরায় ফিরে না এসে)। $n$ এর পরিপ্রেক্ষিতে $k$-এর সর্বাধিক সম্ভাব্য মান নির্ণয় করুন।	$\lfloor \log_{2}n \rfloor$
ধরা যাক, $a_1, \dots, a_n, b_1, \dots, b_n$ হল $2n$ ধনাত্মক পূর্ণসংখ্যা এমনভাবে রয়েছে যে $n+1$ প্রতিঃ\[a_1 a_2 a_3 \cdots a_n, b_1 a_2 a_3 \cdots a_n, b_1 b_2 a_3 \cdots a_n, \dots, b_1 b_2 b_3 \cdots b_n\]সেই ক্রমে কঠোরভাবে বৃদ্ধিশীল গাণিতিক ক্রম গঠন করে। এমন গাণিতিক ক্রমের সাধারণ অন্তরটির সম্ভাব্য ক্ষুদ্রতম পূর্ণসংখ্যা নির্ণয় কর।	$n!$
ধরা যাক $k\ge2$ একটি পূর্ণসংখ্যা। এমন সবচেয়ে ছোট পূর্ণসংখ্যা $n \ge k+1$ নির্ণয় কর, যাতে $n$ ভিন্ন বাস্তব সংখ্যার একটি সেট থাকা সম্ভব, যেখানে সেটটির প্রতিটি উপাদানকে সেটটির $k$ ভিন্ন উপাদানের সমষ্টি হিসাবে প্রকাশ করা যায়।	$k + 4$
