ใน $\triangle ABC$, $(a+c)(\sin A - \sin C) = b(\sin A - \sin B)$, มุม $\angle C$ มีค่าเท่าไรในหน่วยเรเดียน	$\frac{\pi}{3}$
กำหนดฟังก์ชัน $$f(x) = \ln \frac{x}{2-x} + ax + b(x-1)^2.$$ ถ้า \(f(x) > -2\) และเงื่อนไขนี้เป็นจริงเมื่อ \(1 < x < 2\) เท่านั้น จงหาช่วงของค่าของ \(b\)	$b \geq $-\frac{2}{3}$
กำหนดมุมแหลม $\alpha$ และ $\cos \alpha = \frac{1+\sqrt{5}}{4}$. จงหาค่า $\sin \frac{\alpha}{2}$	$\frac{-1+\sqrt{5}}{4}$
กำหนดให้ $S_{n}$ เป็นผลรวมของ $n$ พจน์แรกของอนุกรมเลขคณิต $\{a_{n}\}$. ถ้า $S_{4}=-5$ และ $S_{6}=21S_{2}$ จงหา $S_{8}$.	-85
เส้นตรง $l: x-my+1=0$ ตัดวงกลม $\odot C: (x-1)^{2}+y^{2}=4$ ที่จุด A และ B พื้นที่ของสามเหลี่ยม $\triangle ABC$ คือ $\frac{8}{5}$ หาค่าของ $m$ ที่เป็นไปได้หนึ่งค่า	${2, -2, \frac{1}{2}, -\frac{1}{2}}$
ถ้า $\sin(\alpha - \beta)=\frac{1}{3}$ และ $\cos \alpha \sin \beta=\frac{1}{6}$ จงหาค่า $\cos (2\alpha + 2\beta).$	$\frac{1}{9}$
ฟังก์ชัน $f(x)=\cos \omega x -1\;(\omega>0)$ มี 3 รากในช่วง $[0, 2\pi]$, ช่วงของ $\omega$ คืออะไร	$[2,3)$
ไฮเพอร์โบลา $C$ กำหนดโดย $\frac{x^{2}}{a^{2}} - \frac{y^{2}}{b^{2}} = 1\;(a>0,b>0).$ จุดโฟกัสซ้ายและขวาคือ $F_{1},F_{2}$ ตามลำดับ．จุด $A$ อยู่บน $C$ และจุด $B$ อยู่บนแกน $y$. $\overrightarrow{F_{1}A} \perp \overrightarrow{F_{1}B}$ และ $\overrightarrow{F_{2}A} = -\frac{2}{3}\overrightarrow{F_{2}B}$. ค่าเอกเซนทริซิตีของ $C$ คือเท่าใด	$\frac{3\sqrt{5}}{5}$
กำหนดให้ \(a = 0.1e^{0.1}\), \(b = \frac{1}{9}\), \(c = -\ln 0.9\) เปรียบเทียบขนาดของ \(a\), \(b\) และ \(c\)	$c < a < b$
กำหนดว่า จุด \(A(2,1)\) อยู่บนไฮเปอร์โบลา \(C: \frac{x^2}{a^2} - \frac{y^2}{a^2 - 1} = 1 (a > 1)\) และเส้นตรง \(l\) ตัดกับ \(C\) ที่จุด \(P\) และ \(Q\) โดยผลรวมของความชันของเส้นตรง \(AP\) และ \(AQ\) มีค่าเป็น 0 ถ้า \(\tan \angle PAQ = 2\sqrt{2}\) จงหาพื้นที่ของ \(\triangle PAQ\)	$\frac{16\sqrt{2}}{9}$
ลำดับ $\{a_{n}\}$ เป็นลำดับเรขาคณิต $S_n$ คือผลรวมของตัวเลข $n$ ตัวแรกของ $\{a_{n}\}$ และ $a_{n+1} = 2S_{n}+2$ ค่า $a_{4}$ มีค่าเท่าไหร่	54
สมการไฮเพอร์โบลา $\frac{x^{2}}{a^{2}} - \frac{y^{2}}{b^{2}} (a>0, b>0)$ มีจุดโฟกัสซ้ายและขวาคือ $F_{1}, F_{2}$ ตามลำดับ．มีการลากเส้นตั้งฉากจากจุด $F_{2}$ ถึงหนึ่งในเส้นแอสโทพ และจุดเท้าเส้นตั้งฉากนั้นคือจุด P หาก $PF_{2} = 2$ และความชันของเส้น $PF_{1}$ คือ $\frac{\sqrt{2}}{4}$ จงหาสมการของไฮเพอร์โบลา	$\frac{x^{2}}{2} - \frac{y^{2}}{4}=1$
กล่องสามใบ A, B, C มีจำนวนลูกบอลสีดำและสีขาวอยู่บ้าง ขนาดรวมของลูกบอลในแต่ละกล่องมีสัดส่วนตามอัตราส่วน 5:4:6 เปอร์เซ็นต์ของลูกบอลสีดำในแต่ละกล่องคือ 40%, 25%, และ 50% ตามลำดับ มีการสุ่มหยิบลูกบอลออกมาจากแต่ละกล่องอย่างละหนึ่งลูก ความน่าจะเป็น ลูกบอลสามลูกเป็นสีดำทั้งหมดคือ$p_1$  ถ้ารวมลูกบอลในทั้งสามกล่องเข้าด้วยกันเป็นหนึ่งกล่อง และความน่าจะเป็นการสุ่มหยิบลูกบอลสีขาวคือ$p_2$ จงห$p_1+p_2$（แสดงในรูปทศนิยม）	0.65
ใน $\triangle ABC$，$\angle A = 60^{\degree}$ ，$BC=1$ ，จุด D เป็นจุดกึ่งกลางของ AB และจุด E เป็นจุดกึ่งกลางของ CD กำหนดให้ $\overline{AB} = \overrightarrow{a},\overline{AC} = \overrightarrow{b}$ ถ้า $\overline{BF} = \frac{1}{3}\overline{BC}$ จงหาค่ามากที่สุดของ $\overline{AE} \cdot \overline{AF}$	$\frac{13}{24}$
ถ้าฟังก์ชัน $f(x)=ax^{2}-2x-|x^{2}-ax+1|$ มีรากจริงเพียง 2 ราก ค่า $a$ จะอยู่ในช่วงใด	$(-\infty, 0)\cup(0,1)\cup(1,+\infty)$
ให้ $(1+2023x)^{100}+(2023-x)^{100}=a_{0}+a_{1}x+a_{2}x^{2}+\ldots+a_{100}x^{100}$, โดยที่ $a_{0},a_{1},a_{2},\ldots,a_{100} \in \mathbb{R}$ และ $0 \leq k \leq 100$ และ $k \in \mathbb{N}$, ค่า $k$ สูงสุดที่ทำให้ $a_{k} < 0$ คือค่าใด	49
มีจุดสามจุด A, B, C โดยที่ $AB=BC=AC=1$ มีกี่วิธีที่จะเลือกจุดอีกสองจุด (ในลำดับใดก็ได้) เพื่อให้จุดทั้งห้าจุด (A, B, C และจุดเพิ่มเติมอีกสองจุด) เป็นยอดของพีระมิดฐานสี่เหลี่ยมจัตุรัส	9
ฟังก์ชัน $f(x)=\sin(\omega x + \varphi)$ กำลังเพิ่มขึ้นในช่วง $(\frac{\pi}{6}, \frac{2\pi}{3})$ และจุดที่ $x=\frac{\pi}{6}$ และ $x=\frac{2\pi}{3}$ เป็นจุดยอดของกราฟ $y=f(x)$ ค่า $f(-\frac{5\pi}{12})?$ จะมีค่าเท่าใด	$\frac{\sqrt{3}}{2}$
ถ้าตัวเลขจริง $x,y$ เข้าเงื่อนไข $x^{2}+y^{2}-4x-2y-4=0$ ค่า $x-y$ สูงสุดมีค่าเท่าไหร่	$1+3\sqrt{2}$
ถ้า $\theta \in (0, \frac{\pi}{2}), \tan \theta = \frac{1}{2}$ จงหาค่าของ $\sin \theta - \cos \theta$	$-\frac{\sqrt{5}}{5}$
ตัวแปร $x$ และ $y$ ต้องสอดคล้องกับระบบสมการต่อไปนี้ $\begin{cases} x-2y \leq -1 \\ x+2y \leq 9 \\ 3x+y \geq 7 \end{cases}$ ค่า $z=2x-y$ สูงสุดคือเท่าไหร่	8
ลำดับเลขคณิต $\{a_{n}\}$ มีผลต่างร่วม $\frac{2\pi}{3}$. ให้ $S$ เป็นเซต $S=\{\cos a_{n} | n \in \mathbb{N}^{+}\}$. ถ้า $S=\{a,b\}$ ให้หาค่า $ab$.	$-\frac{1}{2}$
วงกลม $\odot O$ มีรัศมีเท่ากับ 1 จุด P เป็นจุดที่อยู่นอกวงกลม เส้นตรง PA สัมผัสกับ $\odot O$ ที่จุด A เส้นตรง PB ตัด $\odot O$ ที่จุด B และ C จุด D เป็นจุดกึ่งกลางของ BC ถ้า $\lvert OP \rvert = \sqrt{2}$ จงหาค่ามากสุดของ $\overrightarrow{PA} \cdot \overrightarrow{PD}$.	$\frac{1+\sqrt{2}}{2}$
ลำดับ $\{a_{n}\}$ คือลำดับเรขาคณิตที่ $a_{2}a_{4}a_{5} = a_{3}a_{6}$ และ $a_{9}a_{10}=-8$ จงหาค่า $a_{7}$	-2
พีระมิด $P-ABCD$ มีฐานเป็นรูปสี่เหลี่ยมจัตุรัส ABCD และ P เป็นจุดยอดด้านบน $AB=4$, $PC=PD=3$, และ $\angle PCA=45^{\degree}$ จงหาพื้นที่ของ $\triangle PBC$.	$4\sqrt{2}$
จุดโฟกัสสองจุดของวงรี $\frac{x^{2}}{9}+\frac{y^{2}}{6}=1$ คือ $F_{1}$ และ $F_{2}$ จึงให้ O เป็นจุดกำเนิด จุด P เป็นจุดหนึ่งบนวงรีโดยที่ $\cos\angle F_{1}PF_{2}=\frac{3}{5}$ หาขนาด $|PO|$	$\frac{\sqrt{30}}{2}$
ในสามเหลี่ยม $\triangle ABC$, $AB=2$, $\angle BAC=60^{\degree}$, และ $BC=\sqrt{6}$. จุด D อยู่บน BC และ AD เป็นเส้นแบ่งครึ่ง $\angle BAC$. จงหา $AD$	2
ในปิรามิดสามเหลี่ยม $P-ABC$ ฐาน $\triangle ABC$ เป็นสามเหลี่ยมด้านเท่าที่มีความยาวด้านเท่ากับ 2 $PA=PB=2$ และ $PC= \sqrt{6}$ จงหาปริมาตรของปิรามิดนี้	1
กราฟของ $y=f(x)$ ได้รับจากการเลื่อนกราฟของ $y=\cos \left(2x+\frac{\pi}{6}\right)$ ไปทางซ้าย $\frac{\pi}{6}$ หน่วย กราฟของ $y=f(x)$ มีกี่จุดตัดกับเส้น $y=\frac{1}{2}x-\frac{1}{2}$	3
ตัวแปร $x$ และ $y$ ตอบสนองระบบ $\begin{cases} 3x-2y \leq 3 \\ -2x+3y \leq 3 \\ x+y \geq 1 \end{cases}$ ค่ามากที่สุดของ $z=3x+2y$ คือเท่าไหร่	15
ให้ลำดับ $\{a_n\} (n \in \mathbb{N}^{*})$ โดยที่พจน์แรก $a_1 = 1$ และผลรวมของ $n$ พจน์แรกแทนด้วย $S_n$ สมมติให้ $\lambda$ และ $k$ เป็นค่าคงที่ ถ้าสำหรับจำนวนเต็มบวก $n$ ทุกค่า จะมีสมการดังนี้: \[S_{n+1}^{1/k} - S_n^{1/k} = \lambda a_{n+1}^{1/k}\] ลำดับดังกล่าวจะถูกเรียกว่าเป็นลำดับแบบ “$\lambda \sim k$” ให้ $\lambda$ ที่หนึ่ง, มีลำดับ $\{a_n\}$ สามชุดที่ต่างกัน ซึ่งสามารถเป็นลำดับแบบ “$\lambda \sim 3$” โดยที่ $a_n \geq 0$ หรือไม่? ถ้าลำดับดังกล่าวมีอยู่, ให้หาช่วงของค่า $\lambda$ ถ้าไม่มี  อธิบายเหตุผล	$0 < \lambda < 1$
กระเป๋า \( A \) มีลูกบอลสีดำ 2 ลูกและลูกบอลสีขาว 1 ลูก ในขณะที่กระเป๋าอีกใบ \( B \) มีลูกบอลสีขาว 3 ลูก ในแต่ละขั้นตอนจะสุ่มหยิบลูกบอลหนึ่งลูกจากกระเป๋าแต่ละใบแล้วสลับกับกระเป๋าอีกใบ ทำซ้ำขั้นตอนนี้ \( n \) ครั้ง ให้ \( X_n \) แทนจำนวนลูกบอลสีดำในกระเป๋า \( A \) และให้ \( p_n \) เป็นความน่าจะเป็นที่กระเป๋า \( A \) มีลูกบอลสีดำอยู่ 2 ลูกโดยเฉพาะ เช่นเดียวกับที่ \( q_n \) เป็นความน่าจะเป็นที่กระเป๋า \( A \) มีลูกบอลสีดำอยู่ 1 ลูกโดยเฉพาะ จงหาค่าคาดหวัง \( E(X_n) \) ของ \( X_n \) ในรูปของ \( n \)	$1 + \frac{1}{3^n}$
ให้ฟังก์ชัน $f(x) = (x-a)(x-b)(x-c)$ โดยที่ $a, b, c \in \mathbb{R}$ และ $f'(x)$ คืออนุพันธ์ของ $f(x)$ กำหนดให้ $a = 0, 0 < b \leq 1, c = 1$ และค่าต่ำสุดเชิงบวกที่ $f(x)$ มีค่าเป็น $M$ จงหาค่าสูงสุดของ $M$	$\frac{4}{27}$
กำหนดอนุกรมเลขคณิตที่มีพจน์แรกเท่ากับ 1 และอัตราส่วนร่วมเป็นบวก ว่าเป็น "ลำดับ M" ให้ $m$ เป็นจำนวนเต็มบวก หากมี "ลำดับ M" $\{c_n\} (n \in \mathbb{N}^{*})$ สำหรับจำนวนเต็มบวกใด ๆ $k$ เมื่อ $k \leq m$ เงื่อนไข $c_k \leq b_k \leq c_{k+1}$ เป็นจริง จงหาค่ามากที่สุดของ $m$	5
ให้ฟังก์ชัน $y = f(x)$, $y = g(x)$ และ $h(x) = kx + b$ $(k, b \in \mathbb{R})$ ความไม่เท่าเทียม $f(x) \geq h(x) \geq g(x)$ จะเป็นจริงสำหรับทุก $x$ ในช่วง $D$ โดยที่ \[f(x) = x^4 - 2x^2, g(x) = 4x^2 - 8, h(x) = 4(t^3 - t)x - 3t^4 + 2t^2, (0 < |t| \leq \sqrt{2}),\]\[D = [m, n] \subseteq \left[-\sqrt{2}, \sqrt{2}\right],\]. จงหาค่าสูงสุดของ $n - m$.	$\sqrt{7}$
กำหนดให้เซต $A = \{x \mid x = 2n - 1, n \in \mathbb{N}^{*} \}$ และ $B = \{x \mid x = 2^n, n \in \mathbb{N}^{*} \}$. จัดเรียงทุกสมาชิกของ $A \cup B$ ตามลำดับจากน้อยไปมากเพื่อสร้างลำดับ $\{a_n\}$. ให้ $S_n$ เป็นผลรวมของจำนวน $n$ พจน์แรกของลำดับ $\{a_n\}$. จงหาค่าน้อยที่สุดของ $n$ ที่ทำให้ $S_n > 12a_{n+1}$.	27
