$\triangle ABC$ তে, $(a+c)(\sin A - \sin C) = b(\sin A - \sin B)$, $\angle C$-এর মান রেডিয়ানে কত?	$\frac{\pi}{3}$
ফাংশনটি হল $$f(x) = \ln \frac{x}{2-x} + ax + b(x-1)^2.$$ যদি \(f(x) > -2\) হয় এবং শুধুমাত্র \(1 < x < 2\) হলেই তা সিদ্ধ হয়, তাহলে \(b\)-এর মানের পরিসীমা খুঁজে বের করুন।	$b \geq $-\frac{2}{3}$
ধরা যাক, $\alpha$ একটি সূক্ষ্মকোণ এবং $\cos \alpha = \frac{1+\sqrt{5}}{4}$। $\sin \frac{\alpha}{2}$ এর মান বার করুন।	$\frac{-1+\sqrt{5}}{4}$
ধরি, $\{a_{n}\}$ জ্যামিতিক ক্রমটির প্রথম $n$টি উপাদানের যোগফল $S_{n}$। যদি $S_{4}=-5$ এবং $S_{6}=21S_{2}$ হয়, তবে $S_{8}$ এর মান বার করুন।	-85
রেখা $l: x-my+1=0$ বৃত্ত $\odot C: (x-1)^{2}+y^{2}=4$ কে A এবং B বিন্দুতে ছেদ করে। ত্রিভুজ $\triangle ABC$ এর ক্ষেত্রফল $\frac{8}{5}$। $m$ এর সব সম্ভাব্য মানগুলি নির্ণয় করুন।	${2, -2, \frac{1}{2}, -\frac{1}{2}}$
যদি $\sin(\alpha - \beta)=\frac{1}{3}$ এবং $\cos \alpha \sin \beta=\frac{1}{6}$ হয়, তাহলে $\cos (2\alpha + 2\beta).$ এর মান নির্ণয় করুন।	$\frac{1}{9}$
ফাংশন $f(x)=\cos \omega x -1\;(\omega > 0)$ এ $[0, 2\pi]$ পরিসর বা ইন্টারভ্যালে 3টি বর্গমূল রয়েছে, তাহলে $\omega$-এর রেঞ্জ বা বিস্তৃতি কী হবে?	$[2,3)$
অধিবৃত্ত $C$ $\frac{x^{2}}{a^{2}} - \frac{y^{2}}{b^{2}} = 1\;(a > 0,b > 0).$ অনুসারে গঠিত। এটির বাম এবং ডান কেন্দ্রবিন্দু হল যথাক্রমে $F_{1},F_{2}$। $C$-এর ওপরে অবস্থিত একটি বিন্দু হল $A$ এবং $y-$ অক্ষের ওপরে অবস্থিত একটি বিন্দু হল $B$। $\overrightarrow{F_{1}A} \perp \overrightarrow{F_{1}B}$ এবং $\overrightarrow{F_{2}A} = -\frac{2}{3}\overrightarrow{F_{2}B}$। $C$-এর উৎকেন্দ্রিকতা (eccentricity) কত?	$\frac{3\sqrt{5}}{5}$
ধরা যাক \(a = 0.1e^{0.1}\), \(b = \frac{1}{9}\), \(c = -\ln 0.9\)। \(a\), \(b\) ও \(c\) এর আকারগুলি তুলনা করুন।	$c < a < b$
প্রদত্ত \(A(2,1)\) বিন্দুটি অধিবৃত্ত \(C: \frac{x^2}{a^2} - \frac{y^2}{a^2 - 1} = 1 (a > 1)\) এর উপর অবস্থিত এবং \(l\) রেখাটি \(C\) কে \(P\) এবং \(Q\) বিন্দুতে ছেদ করে, এমন অবস্থায় রেখা \(AP\) এবং \(AQ\) এর ঢালের যোগফল 0। যদি \(\tan \angle PAQ = 2\sqrt{2}\) হয়, তাহলে \(\triangle PAQ\) এর ক্ষেত্রফল নির্ণয় করুন।	$\frac{16\sqrt{2}}{9}$
