في المثلث $\triangle ABC$، $(a+c)(\sin A - \sin C) = b(\sin A - \sin B)$، ما قيمة $\angle C$ بالراديان؟	$\frac{\pi}{3}$
بالنظر إلى الدالة $$f(x) = \ln \frac{x}{2-x} + ax + b(x-1)^2.$$ إذا كان \(f(x) > -2\) وتتحقق هذه الشروط فقط عندما \(1 < x < 2\)، أوجد مجال القيم لـ \(b\).	$b \geq $-\frac{2}{3}$
معطى أن $\alpha$ زاوية حادة وأن $\cos \alpha = \frac{1+\sqrt{5}}{4}$. أوجد $\sin \frac{\alpha}{2}$.	$\frac{-1+\sqrt{5}}{4}$
لتكن $S_{n}$ مجموع أول $n$ عناصر من متتالية هندسية $\{a_{n}\}$. إذا كان $S_{4}=-5$ و $S_{6}=21S_{2}$، أوجد $S_{8}$.	-85
الخط $l: x-my+1=0$ يتقاطع مع الدائرة $\odot C: (x-1)^{2}+y^{2}=4$ عند نقطتي A و B. مساحة المثلث $\triangle ABC$ هي $\frac{8}{5}. جد قيمة واحدة ممكنة لـ $m$.	${2, -2, \frac{1}{2}, -\frac{1}{2}}$
إذا كان $\sin(\alpha - \beta)=\frac{1}{3}$ وكان $\cos \alpha \sin \beta=\frac{1}{6}$، أوجد $\cos (2\alpha + 2\beta).$	$\frac{1}{9}$
الدالة $f(x)=\cos \omega x -1\;(\omega>0)$ لها ثلاثة جذور في الفترة $[0, 2\pi]$، ما هو النطاق الممكن لـ $\omega$؟	$[2,3)$
يُعطى القطع الزائد $C$ بالمعادلة $\frac{x^{2}}{a^{2}} - \frac{y^{2}}{b^{2}} = 1\;(a>0,b>0).$ البؤراليسرى واليمنى هي $F_{1},F_{2}$ على التوالي. النقطة $A$ تقع على $C$ والنقطة $B$ تقع على المحور $y$. $\overrightarrow{F_{1}A} \perp \overrightarrow{F_{1}B}$ و $\overrightarrow{F_{2}A} = -\frac{2}{3}\overrightarrow{F_{2}B}$. ما هي الانحراف ل$C$؟	$\frac{3\sqrt{5}}{5}$
ليكن \(a = 0.1e^{0.1}\), \(b = \frac{1}{9}\)، \(c = -\ln 0.9\). قارن بين قيم \(a\)، \(b\)، و \(c\).	$c < a < b$
نظرًا لأن النقطة \(A(2,1)\) تقع على القطع الزائد \(C: \frac{x^2}{a^2} - \frac{y^2}{a^2 - 1} = 1 (a > 1)\)، و الخط \(l\) يتقاطع مع \(C\) في النقطتين \(P\) و \(Q\)، حيث مجموع ميولي الخطوط \(AP\) و \(AQ\) يكون 0. إذا كان \(\tan \angle PAQ = 2\sqrt{2}\)، جد مساحة \(\triangle PAQ\).	$\frac{16\sqrt{2}}{9}$
