หอยทากเทอร์โบเล่นเกมบนกระดานที่มี $2024$ แถว และ $2023$ คอลัมน์ มีสัตว์ประหลาดที่ซ่อนอยู่ใน $2022$ ช่อง ในเริ่มแรกเทอร์โบไม่ทราบว่าสัตว์ประหลาดอยู่ไหน แต่เขารู้ว่าในแต่ละแถวยกเว้นแถวแรกและแถวสุดท้าย จะมีสัตว์ประหลาดอยู่หนึ่งตัวเท่านั้น และในแต่ละคอลัมน์มีสัตว์ประหลาดได้สูงสุดหนึ่งตัว เทอร์โบต้องพยายามหลายครั้งเพื่อเดินทางจากแถวแรกไปยังแถวสุดท้าย ในแต่ละครั้งเขาสามารถเลือกเริ่มจากช่องใดก็ได้ในแถวแรก จากนั้นเขาจะเคลื่อนที่ไปยังช่องที่อยู่ติดกันที่มีด้านร่วมกัน (สามารถกลับไปช่องที่เคยไปแล้วได้) ถ้าเขาไปถึงช่องที่มีสัตว์ประหลาด ความพยายามของเขาจะจบลงและเขาจะถูกส่งกลับไปยังแถวแรกเพื่อเริ่มใหม่ สัตว์ประหลาดไม่เคลื่อนที่และเทอร์โบจำได้ว่าแต่ละช่องที่เขาเคยไปมามีสัตว์ประหลาดหรือไม่ ถ้าเขาไปถึงช่องใดก็ตามในแถวสุดท้าย ความพยายามของเขาจะสิ้นสุดลงและเกมก็จะจบ หาค่าต่ำสุดของ $n$ ซึ่งทำให้เทอร์โบมีวิธีการที่จะรับประกันว่าเขาจะไปถึงแถวสุดท้ายในการพยายามครั้งที่ $n$ หรือก่อนหน้านั้น ไม่ว่าพวกสัตว์ประหลาดจะอยู่ที่ไหน	3
ให้ $\mathbb{Q}$ เป็นเซตของจำนวนตรรกยะ ฟังก์ชัน $f: \mathbb{Q} \to \mathbb{Q}$ เรียกว่า aquaesulian หากมีสมบัติดังนี้: สำหรับทุก ๆ $x,y \in \mathbb{Q}$,\\[ f(x+f(y)) = f(x) + y \quad \text{or} \quad f(f(x)+y) = x + f(y). \]แสดงว่ามีจำนวนเต็ม $c$ ที่สำหรับฟังก์ชัน aquaesulian ใด ๆ $f$ มีจำนวนของค่าจำนวนตรรกยะรูป $f(r) + f(-r)$ สำหรับจำนวนตรรกยะบางตัว $r$ ไม่เกิน $c$ และหาค่าที่น้อยที่สุดของ $c$	2
ให้ $n$ เป็นจำนวนเต็มบวก สามเหลี่ยมญี่ปุ่นประกอบด้วย $1 + 2 + \dots + n$ วงกลมซึ่งถูกจัดเรียงในรูปสามเหลี่ยมด้านเท่า โดยที่แถวที่ $i$ จะมีวงกลม $i$ วง และในแต่ละแถวมีวงกลมสีแดงเพียงวงเดียว เส้นทางนินจาในสามเหลี่ยมญี่ปุ่นหมายถึงเส้นทางที่ผ่านวงกลมจำนวน $n$ วง โดยเริ่มต้นจากแถวบนสุดและเดินทางลงไปยังวงกลมสองวงใต้ในแถวถัดไปทีละหนึ่งแถวจนถึงแถวล่างสุด ตัวอย่างดังรูปแสดงสามเหลี่ยมญี่ปุ่นที่ $n = 6$ พร้อมกับเส้นทางนินจาที่มีวงกลมสีแดงสองวง [asy] // credit to vEnhance for the diagram (which was better than my original asy): size(4cm);  pair X = dir(240); pair Y = dir(0);  path c = scale(0.5)*unitcircle;  int[] t = {0,0,2,2,3,0};  for (int i=0; i<=5; ++i) {     for (int j=0; j<=i; ++j) {  filldraw(shift(i*X+j*Y)*c, (t[i]==j) ? lightred : white);  draw(shift(i*X+j*Y)*c);     }  }  draw((0,0)--(X+Y)--(2*X+Y)--(3*X+2*Y)--(4*X+2*Y)--(5*X+2*Y),linewidth(1.5));  path q = (3,-3sqrt(3))--(-3,-3sqrt(3));  draw(q,Arrows(TeXHead, 1));  label("$n = 6$", q, S); label("$n = 6$", q, S); [/asy] จงหาค่าสูงสุดของ $k$ สำหรับ $n$ เพื่อที่ในสามเหลี่ยมญี่ปุ่นแต่ละอันจะมีเส้นทางนินจาที่ประกอบด้วยวงกลมสีแดงอย่างน้อย $k$ วง	$\lfloor \log_{2} n  \rfloor + 1$
ให้ $n$ เป็นจำนวนเต็มบวก สี่เหลี่ยมจัตุรัสนอร์ดิก คือ กระดานขนาด $n \times n$ ซึ่งมีตัวเลขทุกตัวตั้งแต่ $1$ ถึง $n^2$ อยู่ในแต่ละช่อง โดยที่แต่ละช่องมีตัวเลขเพียงตัวเดียวเท่านั้น ช่องที่แตกต่างกันสองช่องจะถือว่าอยู่ติดกันถ้ามีด้านข้างร่วมกัน ช่องที่ติดกันแต่ละช่องที่มีตัวเลขใหญ่กว่าจะเรียกว่า "หุบเขา" เส้นทางขึ้นเขาคือ ลำดับของหนึ่งช่องหรือมากกว่าที่: (i) ช่องแรกในลำดับเป็นหุบเขา, (ii) แต่ละช่องในลำดับถัดไปอยู่ติดกับช่องก่อนหน้า, และ (iii) ตัวเลขที่เขียนในแต่ละช่องของลำดับมีค่าเพิ่มขึ้น หาค่าฟังก์ชันของ $n$ ที่ทำให้จำนวนรวมของเส้นทางขึ้นเขาในสี่เหลี่ยมจัตุรัสนอร์ดิกน้อยที่สุด	$2n^2 - 2n + 1$
ศาสตราจารย์โอ๊คกำลังให้อาหารโปเกมอนจำนวน $100$ ตัว แต่ละตัวมีชามที่ขนาดเป็นจำนวนจริงบวกในหน่วยกิโลกรัม ซึ่งศาสตราจารย์โอ๊ครู้ค่าขนาดเหล่านี้อยู่แล้ว ขนาดรวมของชามทั้งหมดคือ $100$ กิโลกรัม ศาสตราจารย์โอ๊คแจกจ่ายอาหารทั้งหมด $100$ กิโลกรัมในวิธีที่แต่ละโปเกมอนจะได้รับอาหารเป็นจำนวนเต็มบวกหรือน้อยกว่าศูนย์ในหน่วยกิโลกรัม (อาจมากกว่าขนาดของชามก็ได้) ระดับความไม่พอใจของโปเกมอนที่ได้รับอาหาร $N$ กิโลกรัมและมีขนาดชาม $C$ กิโลกรัมมีค่าเท่ากับ $\lvert N-C\rvert$ จงหาจำนวนจริงที่น้อยที่สุด $D$ ที่ไม่ว่าจะเป็นขนาดของชามอย่างไรก็ตาม ศาสตราจารย์โอ๊คสามารถแจกจ่ายอาหารในวิธีที่ผลรวมของระดับความไม่พอใจของโปเกมอนทั้งหมด $100$ ตัวไม่เกิน $D$	50
กำหนดความยาวสูงสุด $L$ ของลำดับ $a_1,\dots,a_L$ ที่เป็นจำนวนเต็มบวก โดยจะต้องเป็นไปตามเงื่อนไขทั้งสองข้อต่อไปนี้: ทุกๆ ค่าของลำดับจะต้องไม่เกิน $2^{2023}$ และ จะต้องไม่มีช่วงอนุกรมย่อยที่ต่อเนื่อง $a_i,a_{i+1},\dots,a_j$ (โดยที่ $1\le i\le j\le L$) ที่สามารถเลือกสัญลักษณ์ $s_i,s_{i+1},\dots,s_j\in\{1,-1\}$ เพื่อให้\[s_ia_i+s_{i+1}a_{i+1}+\dots+s_ja_j=0.\]	$2^{2024} - 1$
ให้ $n\geqslant 2$ เป็นจำนวนเต็มบวก Paul มีแถบสี่เหลี่ยม 1\times n^2 ประกอบด้วยตารางหน่วยขนาด $n^2$ โดยตารางที่ $i^{\text{th}}$ ถูกติดป้ายด้วย $i$ สำหรับทุก $1 \leqslant i \leqslant n^2$ เขาต้องการตัดแถบนี้ออกเป็นหลายชิ้น ซึ่งแต่ละชิ้นจะประกอบไปด้วยตารางหน่วยหลายตัวที่ต่อเนื่องกัน จากนั้นแปล (โดยไม่หมุนหรือคว่ำ) ชิ้นส่วนเหล่านั้นให้ได้สี่เหลี่ยมจตุรัสขนาด $n\times n$ โดยต้องมีคุณสมบัติดังนี้: ถ้าตารางหน่วยในแถวที่ $i^{\text{th}}$ และคอลัมน์ที่ $j^{\text{th}}$ ถูกติดป้ายด้วย $a_{ij}$ แล้ว $a_{ij}-(i+j-1)$ จะถูกหารด้วย $n$ ลงตัว กำหนดจำนวนชิ้นน้อยที่สุดที่ Paul จำเป็นต้องตัดเพื่อให้บรรลุนี้	$2n - 1$
หมู่เกาะอิโมมิประกอบด้วยเกาะจำนวน $n\geq 2$ เกาะ ระหว่างเกาะที่แตกต่างกันแต่ละคู่จะมีเส้นทางเรือข้ามฟากเฉพาะที่ให้บริการไปมาทั้งสองทิศทาง และแต่ละเส้นทางจะมีหนึ่งในบริษัทของ $k$ บริษัททำการดำเนินการบริการ เป็นที่ทราบกันว่าหากบริษัทใดบริษัทหนึ่งใน $k$ บริษัทหยุดให้บริการเรือข้ามฟากทุกเส้นทาง จะทำให้ไม่สามารถที่จะเดินทางไปเยี่ยมชมทุกเกาะครบทุกเกาะได้ โดยเฉพาะไม่สามารถที่จะไม่กลับมาที่เกาะที่นักท่องเที่ยวเริ่มต้นได้ จงหาค่ามากสุดที่เป็นไปได้ของ $k$ ในแง่ของ $n$	$\lfloor \log_{2}n \rfloor$
กำหนดให้ $a_1, \dots, a_n, b_1, \dots, b_n$ เป็นจำนวนเต็มบวก $2n$ จำนวน ที่ทำให้ผลคูณ $n+1$ ต่อไปนี้ \[a_1 a_2 a_3 \cdots a_n, b_1 a_2 a_3 \cdots a_n, b_1 b_2 a_3 \cdots a_n, \dots, b_1 b_2 b_3 \cdots b_n\] เป็นลำดับเลขคณิตที่เพิ่มขึ้นแบบเคร่งครัดตามลำดับ ให้หาผลต่างร่วมที่เล็กที่สุดที่เป็นไปได้ของลำดับเลขคณิตดังกล่าว	$n!$
ให้ $k\ge2$ เป็นจำนวนเต็ม จงหาจำนวนเต็มที่น้อยที่สุด $n \ge k+1$ ที่มีคุณสมบัติดังนี้ มีเซตของจำนวนจริง $n$ จำนวนที่แต่ละตัวประกอบด้วยผลรวมของจำนวนจริงอื่นๆที่ไม่ซ้ำกัน $k$ จำนวนในเซตนี้	$k + 4$
