터보 달팽이는 $2024$개의 행과 $2023$개의 열이 있는 보드에서 게임을 합니다. $2022$개의 셀에는 숨겨진 몬스터가 있습니다. 처음에 터보는 몬스터들이 어디에 있는지 알지 못하지만 첫 번째 행과 마지막 행을 제외한 각 행에 정확히 하나의 몬스터가 있다는 것, 그리고 각 열에는 최대 하나의 몬스터만 있는 것을 알고 있습니다. 터보는 첫 번째 행에서 마지막 행으로 가려고 여러 번 시도합니다. 매번 시도에서 터보는 첫 번째 행의 아무 셀에서 시작한 후, 반복적으로 공통된 면을 공유하는 인접 셀로 이동합니다. (이미 방문한 셀로 돌아갈 수 있습니다.) 만약 그가 몬스터가 있는 셀에 도달하면, 그의 시도는 끝나고 그는 첫 번째 행으로 돌아가 새로운 시도를 시작합니다. 몬스터들은 움직이지 않으며, 터보는 각 셀에 몬스터가 있는지 없는지 기억합니다. 만약 그가 마지막 행의 어떤 셀에 도달하면, 그의 시도는 끝나고 게임은 종료됩니다. 터보가 몬스터 위치에 상관없이 $n$번째 시도에서 마지막 행에 도달할 수 있도록 보장하는 전략을 가지기 위한 $n$의 최소 값을 구하세요.	3
$\mathbb{Q}$를 유리수의 집합이라고 하자. 함수 $f: \mathbb{Q} \to \mathbb{Q}$가 다음 조건을 만족할 때 aquaesulian이라고 한다: 모든 $x,y \in \mathbb{Q}$에 대해,\[ f(x+f(y)) = f(x) + y \quad \text{or} \quad f(f(x)+y) = x + f(y). \] 모든 aquaesulian 함수 $f$에 대해, 어떤 정수 $c$가 존재하여, $f(r) + f(-r)$ 형태의 유리수들이 최대 $c$개 이하로 존재한다는 것을 보이고, 가능한 최솟값 $c$를 구하시오.	2
양의 정수 $n$를 하나 정하자. 일본 삼각형은 정삼각형 모양으로 배열된 $1 + 2 + \dots + n$ 개의 원들로 구성되어 있으며, $i = 1$, $2$, $\dots$, $n$에 대해 $i$번째 행은 정확히 $i$ 개의 원을 포함하고, 그 중 하나는 빨간색으로 칠해져 있다. 일본 삼각형에서 닌자 경로는 맨 위 행에서 시작하여, 원에서 바로 아래에 있는 두 원 중 하나로 반복적으로 이동하여 맨 아래 행까지 도달하는 $n$ 개의 원들의 시퀀스를 의미한다. 아래는 $n = 6$인 예시 일본 삼각형과 두 개의 빨간 원을 포함하는 닌자 경로의 예시이다. [asy] // credit to vEnhance for the diagram (which was better than my original asy): size(4cm);  pair X = dir(240); pair Y = dir(0);  path c = scale(0.5)*unitcircle;  int[] t = {0,0,2,2,3,0};  for (int i=0; i<=5; ++i) {     for (int j=0; j<=i; ++j) {  filldraw(shift(i*X+j*Y)*c, (t[i]==j) ? lightred : white);  draw(shift(i*X+j*Y)*c);     }  }  draw((0,0)--(X+Y)--(2*X+Y)--(3*X+2*Y)--(4*X+2*Y)--(5*X+2*Y),linewidth(1.5));  path q = (3,-3sqrt(3))--(-3,-3sqrt(3));  draw(q,Arrows(TeXHead, 1));  label("$n = 6$", q, S); label("$n = 6$", q, S); [/asy] $n$에 대해, 각 일본 삼각형에서 최소 $k$개의 빨간 원을 포함하는 닌자 경로가 존재하도록 하는 가장 큰 $k$를 구하시오.	$\lfloor \log_{2} n  \rfloor + 1$
$n$를 양의 정수라고 하자. 북유럽 사각형은 $1$부터 $n^2$까지의 모든 정수를 포함하는 $n \times n$ 보드로, 각 칸에는 하나의 숫자만 들어간다. 공통 변을 공유하는 두 칸은 서로 인접해 있다고 간주한다. 더 큰 숫자를 포함한 칸들에만 인접한 모든 칸은 계곡이라고 불린다. 오르막 경로는 다음 조건을 만족하는 하나 이상의 칸의 연속적 나열이다: (i) 연속 첫 번째 칸은 계곡이다, (ii) 연속의 각 다음 칸은 이전 칸과 인접해 있다, 그리고 (iii) 연속된 칸에 적힌 숫자는 증가하는 순서로 배열되어 있다. 북유럽 사각형에서 $n$의 함수로써 가능한 가장 작은 오르막 경로의 총 수를 구하여라.	$2n^2 - 2n + 1$
오박사님은 그의 $100$ 마리 포켓몬에게 먹이를 주고 있습니다. 각 포켓몬은 용량이 양의 실수(킬로그램)인 그릇을 가지고 있습니다. 이러한 용량은 오박사님이 알고 있습니다. 모든 그릇의 총 용량은 $100$ 킬로그램입니다. 오박사님은 $100$ 킬로그램의 먹이를 다음과 같은 방식으로 분배합니다. 각 포켓몬은 그릇의 용량을 초과할 수 있는 0 이상의 정수 킬로그램의 먹이를 받습니다. $N$ 킬로그램의 먹이를 받고 그릇의 용량이 $C$ 킬로그램인 포켓몬의 불만 수준은 $\lvert N-C\rvert$로 정의됩니다. 그릇의 용량과 관계없이 오박사님이 $100$ 마리 포켓몬의 불만 수준 합이 최대 $D$ 이하가 되도록 먹이를 배분할 수 있는 가장 작은 실수 $D$를 구하세요.	50
양의 정수로 이루어진 수열 $a_1,\dots,a_L$의 최대 길이 $L$을 구하세요. 이 수열은 다음 두 가지 조건을 만족해야 합니다: 수열의 모든 항은 $2^{2023}$ 이하이며,  임의의 연속 부분 수열 $a_i,a_{i+1},\dots,a_j$ (여기서 $1\le i\le j\le L$)에 대하여 $s_i,s_{i+1},\dots,s_j\in\{1,-1\}$의 부호를 선택했을 때\[s_ia_i+s_{i+1}a_{i+1}+\dots+s_ja_j=0.\]이 되는 경우가 존재하지 않아야 합니다.	$2^{2024} - 1$
$n\geqslant 2$인 양의 정수를 가정하자. 폴은 $n^2$개의 단위 정사각형으로 구성된 $1\times n^2$ 직사각형 띠를 가지고 있는데, 여기서 $i^{\text{th}}$ 정사각형은 모든 $1 \leqslant i \leqslant n^2$에 대해 $i$로 레이블되어 있다. 그는 이 띠를 여러 조각으로 자르고, 각 조각이 연속적인 단위 정사각형의 숫자로 구성되며, 조각들을 회전하거나 뒤집지 않고 $n\times n$ 정사각형을 얻고싶습니다.다음 속성을 만족시키고자 한다: $i^{\text{th}}$ 행과 $j^{\text{th}}$ 열의 단위 정사각형이 $a_{ij}$로 레이블되어 있을 때, $a_{ij}-(i+j-1)$는 $n$으로 나누어떨어진다. 이를 달성하기 위해 폴이 만들어야 하는 조각의 최소 개수를 결정하라.	$2n - 1$
이모미 군도는 $n\geq 2$개의 섬으로 구성되어 있습니다. 서로 다른 각 섬 쌍 사이에는 두 방향으로 운행되는 고유한 페리 노선이 있으며, 각 페리 노선은 $k$개의 회사 중 하나에 의해 운영됩니다. 알려진 바에 따르면, $k$개의 회사 중 어느 하나라도 모든 페리 노선을 폐쇄하면, 여행자가 출발한 섬으로 돌아오지 않고 모든 섬을 한 번씩만 방문하는 것이 불가능해집니다. $n$에 대한 $k$의 가능한 최대값을 구하세요.	$\lfloor \log_{2}n \rfloor$
$a_1, \dots, a_n, b_1, \dots, b_n$을 $2n$개의 양의 정수라고 하자. 이때 $n+1$개의 곱 \[a_1 a_2 a_3 \cdots a_n, b_1 a_2 a_3 \cdots a_n, b_1 b_2 a_3 \cdots a_n, \dots, b_1 b_2 b_3 \cdots b_n\]은 그 순서로 엄격하게 증가하는 등차수열을 형성한다고 하자. 이러한 등차수열의 공차가 될 수 있는 가장 작은 정수를 구하시오.	$n!$
$k\ge2$인 정수를 $k$라고 하자. $n \ge k+1$인 가장 작은 정수 $n$을 찾아라. 이 정수 $n$은 다음 성질을 만족한다: 서로 다른 $n$개의 실수로 이루어진 집합이 존재하여, 그 집합의 각 원소를 집합의 다른 $k$개의 서로 다른 원소들의 합으로 나타낼 수 있다.	$k + 4$
