Утки Дженет несут по 16 яиц в день. Она ест три на завтрак каждое утро и печет кексы для своих друзей каждый день, используя четыре. Остаток она каждый день продает на фермерском рынке по 2 $ за свежее утиное яйцо. Сколько в долларах она зарабатывает на фермерском рынке каждый день?	18
Для халата требуется 2 мотка синей пряжи и вполовину меньше белой пряжи. Сколько всего мотков требуется?	3
Джош решает перепродать дом. Он покупает дом за 80 000 $ и вкладывает 50 000 $ в ремонт. Это повысило стоимость дома на 150 %. Какую выгоду он получил?	70000
Джеймс решает бегать по 3 спринта 3 раза в неделю. Он пробегает 60 метров за каждый спринт. Сколько всего метров он пробегает в неделю?	540
Каждый день Венди скармливает каждой из своих кур по три чашки смешанного корма для кур, содержащего семена, мучных червей и овощи, для поддержания их здоровья. Она дает курам корм в три отдельных приема пищи. Утром она дает своей стае кур 15 чашек корма. Днем она дает своим курам еще 25 чашек корма. Сколько чашек корма ей нужно дать своим курам в последний прием пищи за день, если размер стаи Венди — 20 кур?	20
Кайлар пошел в магазин, чтобы купить стаканы для своей новой квартиры. Один стакан стоит 5 $, но каждый второй стакан стоит всего лишь 60 % от цены. Кайлар хочет купить 16 стаканов. Сколько он должен за них заплатить?	64
В Тулузе в два раза больше овец, чем в Чарльстоне. В Чарльстоне в 4 раза больше овец, чем в Сиэтле. Сколько овец в Тулузе, Чарльстоне и Сиэтле вместе взятых, если в Сиэтле 20 овец?	260
Карла загружает файл размером 200 ГБ. Обычно она может загружать 2 ГБ в минуту, но на 40 % загрузки Windows делает принудительную перезагрузку для установки обновлений, которая занимает 20 минут. После этого Карле приходится перезапустить загрузку сначала. Сколько времени занимает загрузка файла?	160
Джон едет 3 часа со скоростью 60 миль в час, а затем разворачивается, так как понимает, что забыл дома кое-что очень важное. Он пытается добраться до дома за 4 часа, но проводит первые 2 часа в пробке. Следующие полчаса он едет со скоростью 30 миль в час, прежде чем может ехать оставшееся из 4 часов время со скоростью 80 миль в час. Как далеко от дома он находится по истечении этих 4 часов?	45
Ставка Элизы в час за первые 40 часов работы каждую неделю составляет 10 $. Она также получает плату за сверхурочную работу в размере 1,2 ее обычной почасовой ставки. Если на этой неделе Элиза работала 45 часов, сколько она заработала на этой неделе?	460
У новой программы было 60 загрузок за первый месяц. Количество загрузок за второй месяц было в три раза больше, чем загрузок за первый месяц, но затем снизилось на 30 % в третьем месяце. Сколько всего загрузок было у программы за три месяца?	366
Тула пошла в пекарню и купила различные виды выпечки. Она купила 3 дюжины пончиков, которые стоили по 68 $ за дюжину, 2 дюжины мини-кексов, которые стоили по 80 $ за дюжину, и 6 дюжин мини-чизкейков по 55 $ за дюжину. Какова была общая стоимость?	694
Карлос сажает лимонное дерево. Посадить дерево будет стоить 90 $. Каждый год на нем будет вырастать по 7 лимонов, которые он может продать по 1,5 $ за каждый. Поливать и удобрять дерево стоит 3 $ в год. Сколько лет пройдет, прежде чем он начнет зарабатывать деньги на лимонном дереве?	13
Мелани — коммивояжер. Она продала третью часть своих пылесосов в зеленом доме, еще 2 красному дому, и половину от того, что осталось, в оранжевом доме. Если у Мелани осталось 5 пылесосов, сколько у нее было вначале?	18
В танцевальном классе из 20 учеников 20 % записались на современные танцы, 25 % оставшихся записались на джазовые танцы, а остальные записались на хип-хоп танцы. Какой процент от всех учеников записались на хип-хоп танцы?	60
Коммерсант хочет сделать выбор между 2 планами закупок: ювелирные украшения на 5000 $ или электронные гаджеты на 8000 $. Его финансовый консультант предполагает, что рынок ювелирных украшений вырастет на 2,5 %, тогда как рынок электронных гаджетов вырастет на 1,2 % в том же месяце. Если коммерсант, делая выбор, хочет максимально увеличить прибыль в конце месяца, какую прибыль это составит?	125
Два поезда выезжают из Сан-Рафаэля одновременно. Они начинают двигаться на запад, оба проезжая 80 миль. На следующий день они движутся на север, преодолевая 150 миль. Какое расстояние прошел каждый поезд за эти два дня?	230
Джилл платят 20 $ в час за работу учителем и 30 $ в час за работу тренером по чирлидингу. Если она работает 50 недель в году, 35 часов в неделю учителем и 15 часов в неделю тренером, какой у нее годовой оклад?	57500
Клер делает омлет из 3 яиц каждое утро на завтрак. Сколько дюжин яиц она съест за 4 недели?	7
