Turbo, con ốc sên, chơi một trò chơi trên một bảng có $2024$ hàng và $2023$ cột. Có $2022$ quái vật ẩn trong các ô. Ban đầu, Turbo không biết vị trí của bất kỳ quái vật nào, nhưng anh ấy biết rằng có chính xác một quái vật trong mỗi hàng trừ hàng đầu tiên và hàng cuối cùng, và mỗi cột chứa tối đa một quái vật. Turbo thực hiện một loạt các lần thử để đi từ hàng đầu tiên đến hàng cuối cùng. Trong mỗi lần thử, anh ấy chọn bắt đầu từ bất kỳ ô nào trong hàng đầu tiên, sau đó liên tục di chuyển đến một ô liền kề có chung một cạnh. (Anh ấy được phép trở lại một ô đã thăm trước đó.) Nếu anh ấy đến một ô có quái vật, lần thử của anh ấy kết thúc và anh ấy được chuyển trở lại hàng đầu tiên để bắt đầu lần thử mới. Quái vật không di chuyển, và Turbo nhớ liệu mỗi ô anh ấy đã thăm có chứa quái vật hay không. Nếu anh ấy đến bất kỳ ô nào trong hàng cuối cùng, lần thử kết thúc và trò chơi kết thúc. Xác định giá trị nhỏ nhất của $n$ để Turbo có một chiến lược đảm bảo đến hàng cuối cùng ở lần thử thứ $n$ hoặc sớm hơn, bất kể vị trí của các quái vật.	3
Cho $\mathbb{Q}$ là tập hợp các số hữu tỉ. Một hàm $f: \mathbb{Q} \to \mathbb{Q}$ được gọi là hàm aquaesulian nếu tính chất sau được thỏa mãn: với mọi $x,y \in \mathbb{Q}$, \[ f(x+f(y)) = f(x) + y \quad \text{hoặc} \quad f(f(x)+y) = x + f(y). \]Chứng minh rằng tồn tại một số nguyên $c$ sao cho với bất kỳ hàm aquaesulian nào $f$, có tối đa $c$ số hữu tỉ khác nhau dạng $f(r) + f(-r)$ với một số hữu tỉ $r$ nào đó, và tìm giá trị nhỏ nhất có thể của $c$.	2
Cho $n$ là một số nguyên dương. Một tam giác Nhật Bản bao gồm $1 + 2 + \dots + n$ vòng tròn được sắp xếp trong một hình tam giác đều sao cho với mỗi $i = 1$, $2$, $\dots$, $n$, hàng thứ $i$ chứa chính xác $i$ vòng tròn, trong đó chỉ có một vòng tròn được tô màu đỏ. Một con đường ninja trong tam giác Nhật Bản là một dãy gồm $n$ vòng tròn được tạo ra bằng cách bắt đầu từ hàng trên cùng, rồi liên tục đi từ một vòng tròn đến một trong hai vòng tròn ngay bên dưới nó và kết thúc ở hàng dưới cùng. Đây là một ví dụ về một tam giác Nhật Bản với $n = 6$, cùng với một con đường ninja trong tam giác đó chứa hai vòng tròn đỏ. [asy] // credit to vEnhance for the diagram (which was better than my original asy): size(4cm);  pair X = dir(240); pair Y = dir(0);  path c = scale(0.5)*unitcircle;  int[] t = {0,0,2,2,3,0};  for (int i=0; i<=5; ++i) {     for (int j=0; j<=i; ++j) {  filldraw(shift(i*X+j*Y)*c, (t[i]==j) ? lightred : white);  draw(shift(i*X+j*Y)*c);     }  }  draw((0,0)--(X+Y)--(2*X+Y)--(3*X+2*Y)--(4*X+2*Y)--(5*X+2*Y),linewidth(1.5));  path q = (3,-3sqrt(3))--(-3,-3sqrt(3));  draw(q,Arrows(TeXHead, 1));  label("$n = 6$", q, S); label("$n = 6$", q, S); [/asy] Theo $n$, hãy tìm $k$ lớn nhất sao cho trong mỗi tam giác Nhật Bản, có một con đường ninja chứa ít nhất $k$ vòng tròn đỏ.	$\lfloor \log_{2} n  \rfloor + 1$
Cho $n$ là một số nguyên dương. Một ô vuông Bắc Âu là một bảng $n \times n$ chứa tất cả các số từ $1$ đến $n^2$ sao cho mỗi ô chứa chính xác một số. Hai ô khác nhau được coi là kề nhau nếu chúng có một cạnh chung. Mỗi ô chỉ kề với các ô chứa số lớn hơn được gọi là một thung lũng. Một đường đi lên là một dãy các ô thỏa mãn các điều kiện sau: (i) ô đầu tiên trong dãy là một thung lũng, (ii) mỗi ô kế tiếp trong dãy kề với ô trước đó, và (iii) các số viết trong các ô của dãy tăng lên theo thứ tự. Hãy tìm, dưới dạng một hàm của $n$, tổng số đường đi lên nhỏ nhất có thể trong một ô vuông Bắc Âu.	$2n^2 - 2n + 1$
Giáo sư Oak đang cho $100$ Pokémon ăn. Mỗi Pokémon có một bát với dung tích là một số thực dương tính bằng kilôgam. Những dung tích này được Giáo sư Oak biết rõ. Tổng dung tích của tất cả các bát là $100$ kilôgam. Giáo sư Oak phân phối $100$ kilôgam thức ăn sao cho mỗi Pokémon nhận được một số kilôgam thức ăn là số nguyên không âm (số này có thể lớn hơn dung tích của bát). Mức độ không hài lòng của một Pokémon nhận $N$ kilôgam thức ăn và có bát dung tích $C$ kilôgam được tính bằng $\lvert N-C\rvert$. Hãy tìm số thực nhỏ nhất $D$ sao cho, bất kể dung tích của các bát như thế nào, Giáo sư Oak có thể phân phối thức ăn sao cho tổng mức độ không hài lòng của tất cả $100$ Pokémon không vượt quá $D$.	50
Xác định độ dài lớn nhất $L$ của một dãy số $a_1, \dots, a_L$ gồm các số nguyên dương thỏa mãn cả hai điều kiện sau: mỗi phần tử trong dãy đều nhỏ hơn hoặc bằng $2^{2023}$, và không tồn tại một dãy con liên tiếp $a_i, a_{i+1}, \dots, a_j$ (với $1 \le i \le j \le L$) có sự lựa chọn các dấu $s_i, s_{i+1}, \dots, s_j \in \{1, -1\}$ sao cho\[s_i a_i + s_{i+1} a_{i+1} + \dots + s_j a_j = 0.\]	$2^{2024} - 1$
Gọi $n \geqslant 2$ là một số nguyên dương. Paul có một dải hình chữ nhật kích thước $1\times n^2$ bao gồm $n^2$ ô vuông đơn vị, trong đó ô vuông thứ $i$ được đánh số $i$ cho tất cả các $1\leqslant i\leqslant n^2$. Anh ấy muốn cắt dải này thành nhiều mảnh, trong đó mỗi mảnh bao gồm một số ô vuông đơn vị liên tiếp, sau đó dịch chuyển (không xoay hoặc lật) các mảnh để lập thành một hình vuông kích thước $n\times n$ thỏa mãn tính chất sau: nếu ô vuông đơn vị ở hàng $i$ và cột $j$ được đánh số $a_{ij}$, thì $a_{ij}-(i+j-1)$ chia hết cho $n$. Hãy xác định số mảnh cắt ít nhất Paul cần thực hiện để đạt được mục tiêu này.	$2n - 1$
Quần đảo Imomi bao gồm $n\geq 2$ đảo. Giữa mỗi cặp đảo khác nhau có một tuyến phà duy nhất chạy theo cả hai hướng, và mỗi tuyến phà được vận hành bởi một trong số $k$ công ty. Biết rằng nếu bất kỳ một trong số $k$ công ty đóng tất cả các tuyến phà của mình, thì sẽ trở nên không thể để một du khách, không quan trọng nơi du khách bắt đầu, có thể thăm tất cả các đảo chính xác một lần (đặc biệt là không quay lại đảo nơi du khách bắt đầu). Hãy xác định giá trị tối đa có thể của $k$ theo $n$.	$\lfloor \log_{2}n \rfloor$
Cho $a_1, \dots, a_n, b_1, \dots, b_n$ là $2n$ số nguyên dương sao cho $n+1$ tích số \[a_1 a_2 a_3 \cdots a_n, b_1 a_2 a_3 \cdots a_n, b_1 b_2 a_3 \cdots a_n, \dots, b_1 b_2 b_3 \cdots b_n\]tạo thành một cấp số cộng tăng dần theo thứ tự đó. Hãy xác định số nguyên nhỏ nhất có thể là công sai chung của cấp số cộng này.	$n!$
Cho $k \ge 2$ là một số nguyên. Tìm số nguyên nhỏ nhất $n \ge k+1$ sao cho tồn tại một tập gồm $n$ số thực phân biệt mà mỗi phần tử của nó có thể được biểu diễn như một tổng của $k$ phần tử phân biệt khác trong tập.	$k + 4$
