Turbo el caracol juega un juego en un tablero de $2024$ filas y $2023$ columnas. Hay monstruos ocultos en $2022$ de las celdas. Inicialmente, Turbo no sabe dónde están los monstruos, pero sabe que hay exactamente un monstruo en cada fila, excepto en la primera fila y en la última fila, y que cada columna contiene como máximo un monstruo.  Turbo realiza una serie de intentos para ir desde la primera fila hasta la última fila. En cada intento, elige empezar en cualquier celda de la primera fila, y luego se mueve repetidamente a una celda adyacente que comparte un lado común. (Se le permite regresar a una celda previamente visitada.) Si llega a una celda con un monstruo, su intento termina y es transportado de regreso a la primera fila para empezar un nuevo intento. Los monstruos no se mueven, y Turbo recuerda si cada celda que ha visitado contiene o no un monstruo. Si llega a cualquier celda en la última fila, su intento termina y el juego termina.  Determina el valor mínimo de $n$ para el cual Turbo tiene una estrategia que garantiza alcanzar la última fila al intentar $n$ vez/-ces, independientemente de las ubicaciones de los monstruos.	3
Sea $\mathbb{Q}$ el conjunto de los números racionales. Una función $f: \mathbb{Q} \to \mathbb{Q}$ se llama aquaeusuliana si se cumple la siguiente propiedad: para cada $x,y \in \mathbb{Q}$,\[ f(x+f(y)) = f(x) + y \quad \text{or} \quad f(f(x)+y) = x + f(y). \] Muestra que existe un número entero $c$ tal que para cualquier función aquaesuliana $f$ hay como máximo $c$ números racionales distintos de la forma $f(r) + f(-r)$ para algún número racional $r$, y encuentra el valor más pequeño posible de $c$.	2
Sea $n$ un número entero positivo. Un triángulo japonés consiste en $1 + 2 + \dots + n$ círculos dispuestos en forma de triángulo equilátero, de tal manera que para cada $i = 1$, $2$, $\dots$, $n$, la $i$-ésima fila contiene exactamente $i$ círculos, exactamente uno de los cuales está coloreado de rojo. Un camino ninja en un triángulo japonés es una secuencia de $n$ círculos obtenida comenzando en la fila superior, luego yendo repetidamente de un círculo a uno de los dos círculos inmediatamente debajo de él, y terminando en la fila inferior. Aquí hay un ejemplo de un triángulo japonés con $n = 6$, junto con un camino ninja en ese triángulo que contiene dos círculos rojos. [asy] // credit to vEnhance for the diagram (which was better than my original asy): size(4cm);  pair X = dir(240); pair Y = dir(0);  path c = scale(0.5)*unitcircle;  int[] t = {0,0,2,2,3,0};  for (int i=0; i<=5; ++i) {     for (int j=0; j<=i; ++j) {  filldraw(shift(i*X+j*Y)*c, (t[i]==j) ? lightred : white);  draw(shift(i*X+j*Y)*c);     }  }  draw((0,0)--(X+Y)--(2*X+Y)--(3*X+2*Y)--(4*X+2*Y)--(5*X+2*Y),linewidth(1.5));  path q = (3,-3sqrt(3))--(-3,-3sqrt(3));  draw(q,Arrows(TeXHead, 1));  label("$n = 6$", q, S); label("$n = 6$", q, S); [/asy] En términos de $n$, encuentra el mayor $k$ tal que en cada triángulo japonés haya un camino ninja que contenga al menos $k$ círculos rojos.	$\lfloor \log_{2} n  \rfloor + 1$
Sea $n$ un entero positivo. Un cuadrado nórdico es un tablero de $n \times n$ que contiene todos los enteros del $1$ al $n^2$ de manera que cada celda contiene exactamente un número. Dos celdas diferentes se consideran adyacentes si comparten un lado común. Toda celda que sea adyacente solo a celdas que contienen números mayores se llama un valle. Un camino ascendente es una secuencia de una o más celdas tal que: (i) la primera celda en la secuencia es un valle, (ii) cada celda subsiguiente en la secuencia es adyacente a la celda anterior, y (iii) los números escritos en las celdas de la secuencia están en orden ascendente. Encuentra, como una función de $n$, el número total más pequeño posible de caminos ascendentes en un cuadrado nórdico.	$2n^2 - 2n + 1$
El Profesor Oak está alimentando a sus $100$ Pokémon. Cada Pokémon tiene un tazón cuya capacidad es un número real positivo de kilogramos. Profesor Oak sabe estas capacidades. La capacidad total de todos los tazones es de $100$ kilogramos. El Profesor Oak distribuye $100$ kilogramos de comida de tal manera que cada Pokémon recibe un número entero no negativo de kilogramos de comida (lo cual puede ser mayor que la capacidad del tazón). El nivel de insatisfacción de un Pokémon que ha recibido $N$ kilogramos de comida y cuyo tazón tiene una capacidad de $C$ kilogramos es igual a $\lvert N-C\rvert$. Encuentre el número real más pequeño $D$ tal que, independientemente de las capacidades de los tazones, el Profesor Oak pueda distribuir la comida de manera que la suma de los niveles de insatisfacción de todos los $100$ Pokémon sea como máximo $D$.	50
Determine la longitud máxima $L$ de una secuencia $a_1,\dots,a_L$ de números enteros positivos que cumpla con ambas de las siguientes propiedades: cada término de la secuencia es menor o igual a $2^{2023}$, y no existe una subsecuencia consecutiva $a_i,a_{i+1},\dots,a_j$ (donde $1\le i\le j\le L$) con una elección de signos $s_i,s_{i+1},\dots,s_j\in\{1,-1\}$ para la cual \[s_ia_i+s_{i+1}a_{i+1}+\dots+s_ja_j=0.\]	$2^{2024} - 1$
Sea $n\geqslant 2$ un número entero positivo. Paul tiene una tira rectangular de $1\times n^2$ compuesta de $n^2$ cuadrados unitarios, donde el cuadrado $i^{\text{th}}$ está etiquetado con $i$ para todo $1\leqslant i\leqslant n^2$. Él desea cortar la tira en varias piezas, donde cada pieza consiste en un cierto número de cuadrados unitarios consecutivos, y luego trasladar (sin rotar ni voltear) las piezas para obtener un cuadrado de $n\times n$ que satisfaga la siguiente propiedad: si el cuadrado unitario en la fila $i^{\text{th}}$ y la columna $j^{\text{th}}$ está etiquetado con $a_{ij}$, entonces $a_{ij}-(i+j-1)$ es divisible por $n$. Determine el menor número de piezas que Paul necesita hacer para lograr esto.	$2n - 1$
El archipiélago de Imomi consta de $n\geq 2$ islas. Entre cada par de islas distintas hay una línea de ferry única que opera en ambas direcciones, y cada línea de ferry es operada por una de las $k$ compañías. Se sabe que si cualquiera de las $k$ compañías cierra todas sus líneas de ferry, entonces se hace imposible para un viajero, sin importar desde dónde empiece, visitar todas las islas exactamente una vez (en particular, sin regresar a la isla donde comenzó). Determina el valor máximo posible de $k$ en términos de $n$.	$\lfloor \log_{2}n \rfloor$
Sean $a_1, \dots, a_n, b_1, \dots, b_n$ $2n$ números enteros positivos tales que los $n+1$ productos \[a_1 a_2 a_3 \cdots a_n, b_1 a_2 a_3 \cdots a_n, b_1 b_2 a_3 \cdots a_n, \dots, b_1 b_2 b_3 \cdots b_n\] forman una progresión aritmética estrictamente creciente en ese orden. Determine el valor entero más pequeño que podría ser la diferencia común de dicha progresión aritmética.	$n!$
Sea $k\ge2$ un número entero. Encuentra el número entero más pequeño $n \ge k+1$ con la propiedad de que existe un conjunto de $n$ números reales distintos tal que cada uno de sus elementos puede ser escrito como la suma de $k$ otros elementos distintos del conjunto.	$k + 4$
