Turbo l'escargot joue à un jeu sur un plateau avec $2024$ rangées et $2023$ colonnes. Il y a des monstres cachés dans $2022$ cellules. Initialement, Turbo ne sait pas où se trouvent les monstres, mais il sait qu'il y a exactement un monstre dans chaque rangée sauf la première et la dernière rangée, et que chaque colonne contient au maximum un monstre. Turbo fait une série de tentatives pour passer de la première rangée à la dernière rangée. À chaque tentative, il choisit de commencer sur n'importe quelle case dans la première rangée, puis se déplace de manière répétée vers une case adjacente partageant un côté commun. (Il est autorisé à revenir sur une case précédemment visitée.) S'il atteint une case avec un monstre, sa tentative se termine et il est transporté de nouveau à la première rangée pour commencer une nouvelle tentative. Les monstres ne bougent pas, et Turbo se souvient si chaque case qu'il a visitée contient ou non un monstre. S'il atteint n'importe quelle case dans la dernière rangée, sa tentative se termine et le jeu est fini. Déterminez la valeur minimale de $n$ pour laquelle Turbo a une stratégie garantissant d'atteindre la dernière rangée lors de la $n$-ème tentative ou plus tôt, indépendamment des emplacements des monstres.	3
Soit $\mathbb{Q}$ l'ensemble des nombres rationnels. Une fonction $f : \mathbb{Q} \to \mathbb{Q}$ est dite aquaesulienne si la propriété suivante est vérifiée : pour tout $x,y \in \mathbb{Q}$,\[ f(x+f(y)) = f(x) + y \quad \text{or} \quad f(f(x)+y) = x + f(y). \] Montrez qu'il existe un entier $c$ tel que pour toute fonction aquaesulienne $f$, il y ait au plus $c$ nombres rationnels différents de la forme $f(r) + f(-r)$ pour un certain nombre rationnel $r$, et trouvez la plus petite valeur possible de $c$.	2
Soit $n$ un entier positif. Un triangle japonais est composé de $1 + 2 + \dots + n$ cercles disposés en forme de triangle équilatéral, de telle sorte que pour chaque $i = 1$, $2$, $\dots$, $n$, la $i^th}$ rangée contient exactement $i$ cercles, dont exactement un est colorié en rouge. Un chemin de ninja dans un triangle japonais est une séquence de $n$ cercles obtenue en commençant par un cercle de la rangée supérieure, puis en se déplaçant de ce cercle à l'un des deux cercles situés immédiatement en dessous de lui, jusqu'à atteindre la rangée inférieure. Voici un exemple d'un triangle japonais avec $n = 6$, ainsi qu'un chemin de ninja dans ce triangle contenant deux cercles rouges. [asy] // credit to vEnhance for the diagram (which was better than my original asy): size(4cm);  pair X = dir(240); pair Y = dir(0);  path c = scale(0.5)*unitcircle;  int[] t = {0,0,2,2,3,0};  for (int i=0; i<=5; ++i) {     for (int j=0; j<=i; ++j) {  filldraw(shift(i*X+j*Y)*c, (t[i]==j) ? lightred : white);  draw(shift(i*X+j*Y)*c);     }  }  draw((0,0)--(X+Y)--(2*X+Y)--(3*X+2*Y)--(4*X+2*Y)--(5*X+2*Y),linewidth(1.5));  path q = (3,-3sqrt(3))--(-3,-3sqrt(3));  draw(q,Arrows(TeXHead, 1));  label("$n = 6$", q, S); label("$n = 6$", q, S); [/asy] En termes de $n$, trouvez le plus grand $k$ tel que dans chaque triangle japonais, il existe un chemin de ninja contenant au moins $k$ cercles rouges.	$\lfloor \log_{2} n  \rfloor + 1$
Soit $n$ un entier positif. Un carré nordique est un tableau de dimension $n \times n$ contenant tous les entiers de $1$ à $n^2$ de telle sorte que chaque cellule contient exactement un nombre. Deux cellules différentes sont considérées comme adjacentes si elles partagent un côté commun. Toute cellule qui est adjacente uniquement à des cellules contenant des nombres plus grands est appelée une vallée. Un chemin montant est une séquence d'une ou plusieurs cellules telle que : (i) la première cellule de la séquence est une vallée, (ii) chaque cellule suivante de la séquence est adjacente à la cellule précédente, et (iii) les nombres inscrits dans les cellules de la séquence sont en ordre croissant. Trouvez, en fonction de $n$, le nombre total minimum possible de chemins montants dans un carré nordique.	$2n^2 - 2n + 1$
Le Professeur Chen nourrit ses $100$ Pokémon. Chaque Pokémon a un bol dont la capacité est un nombre réel positif de kilogrammes. Ces capacités sont connues du Professeur Chen. La capacité totale de tous les bols est de $100$ kilogrammes. Le Professeur Chen distribue $100$ kilogrammes de nourriture de telle manière que chaque Pokémon reçoive un nombre entier non négatif de kilogrammes de nourriture (qui peut être supérieur à la capacité du bol). Le niveau d'insatisfaction d'un Pokémon qui a reçu $N$ kilogrammes de nourriture et dont le bol a une capacité de $C$ kilogrammes est égal à $\lvert N-C\rvert$. Trouvez le plus petit nombre réel $D$ tel que, quelle que soit la capacité des bols, le Professeur Chen puisse distribuer la nourriture de manière que la somme des niveaux d'insatisfaction de tous les $100$ Pokémon soit au plus égale à $D$.	50
Déterminez la longueur maximale $L$ d'une séquence $a_1,\dots,a_L$ d'entiers positifs satisfaisant les deux propriétés suivantes : chaque terme de la séquence est inférieur ou égal à $2^{2023}$, et il n'existe pas de sous-séquence consécutive $a_i,a_{i+1},\dots,a_j$ (où $1\le i\le j\le L$) avec un choix de signes $s_i,s_{i+1},\dots,s_j\in\{1,-1\}$ for which\[s_ia_i+s_{i+1}a_{i+1}+\dots+s_ja_j=0.\]	$2^{2024} - 1$
Soit $n\geqslant 2$ un entier positif. Paul a une bande rectangulaire de $1\times n^2$ composée de $n^2$ carrés unitaires, où le $i^{\text{th}}$ carré est étiqueté par $i$ pour tout $1\leqslant i\leqslant n^2$. Il souhaite découper la bande en plusieurs morceaux, chaque morceau étant constitué d'un certain nombre de carrés unitaires consécutifs, puis déplacer (sans tourner ni retourner) les morceaux pour obtenir un carré $n\times n$ satisfaisant la propriété suivante : si le carré unitaire dans la $i^{\text{ème}}$ ligne et la $j^{\text{th}}$ colonne est étiqueté par $a_{ij}$, alors $a_{ij}-(i+j-1)$ est divisible par $n$. Déterminez le plus petit nombre de morceaux que Paul doit découper pour y parvenir.	$2n - 1$
L'archipel d'Imomi se compose de $n\geq 2$ îles. Entre chaque paire d'îles distinctes, il y a une ligne de ferry unique qui fonctionne dans les deux sens, et chaque ligne de ferry est exploitée par l'une des $k$ compagnies. On sait que si l'une des $k$ compagnies ferme toutes ses lignes de ferry, alors il devient impossible pour un voyageur, peu importe d'où il commence, de visiter toutes les îles exactement une fois (en particulier, sans retourner à l'île de départ). Déterminer la valeur maximale possible de $k$ en fonction de $n$.	$\lfloor \log_{2}n \rfloor$
Soient $a_1, \dots, a_n, b_1, \dots, b_n$ $2n$ entiers positifs tels que les $n+1$ produits \[a_1 a_2 a_3 \cdots a_n, b_1 a_2 a_3 \cdots a_n, b_1 b_2 a_3 \cdots a_n, \dots, b_1 b_2 b_3 \cdots b_n\]forment une progression arithmétique strictement croissante dans cet ordre. Déterminez le plus petit entier possible qui pourrait être la différence commune d'une telle progression arithmétique.	$n!$
Soit $k \ge 2$ un entier. Trouvez le plus petit entier $n \ge k+1$ ayant la propriété qu’il existe un ensemble de $n$ nombres réels distincts tel que chacun de ses éléments peut être écrit comme une somme de $k$ autres éléments distincts de l'ensemble.	$k + 4$
