Turbo o caracol joga um jogo em um tabuleiro com $2024$ linhas e $2023$ colunas. Existem monstros escondidos em $2022$ das células. Inicialmente, Turbo não sabe onde estão os monstros, mas ele sabe que há exatamente um monstro em cada linha, exceto na primeira linha e na última linha, e que cada coluna contém no máximo um monstro. Turbo faz uma série de tentativas para ir da primeira linha até a última linha. Em cada tentativa, ele escolhe começar em qualquer célula da primeira linha, depois move-se repetidamente para uma célula adjacente que compartilhe um lado comum. (Ele pode voltar a uma célula que já visitou.) Se ele chegar a uma célula com um monstro, sua tentativa termina e ele é transportado de volta para a primeira linha para iniciar uma nova tentativa. Os monstros não se movem, e Turbo se lembra se cada célula que ele visitou contém ou não um monstro. Se ele chegar a qualquer célula na última linha, sua tentativa termina e o jogo acaba. Determine o valor mínimo de $n$ para o qual Turbo tem uma estratégia que garante alcançar a última linha na $n$-ésima tentativa ou antes, independentemente das localizações dos monstros.	3
Seja $\mathbb{Q}$ o conjunto dos números racionais. Uma função $f: \mathbb{Q} \to \mathbb{Q}$ é chamada aquaesuliana se a seguinte propriedade for válida: para todo $x,y \in \mathbb{Q}$,\[ f(x+f(y)) = f(x) + y \quad \text{ou} \quad f(f(x)+y) = x + f(y). \]Mostre que existe um número inteiro $c$ tal que para qualquer função aquaesuliana $f$, existem no máximo $c$ números racionais diferentes da forma $f(r) + f(-r)$ para algum número racional $r$, e encontre o menor valor possível de $c$.	2
Seja $n$ um número inteiro positivo. Um triângulo japonês consiste em $1 + 2 + \dots + n$ círculos dispostos em uma forma triangular equilátera, tal que para cada $i = 1$, $2$, $\dots$, $n$, a $i^{th}$ linha contém exatamente $i$ círculos, exatamente um dos quais é colorido de vermelho. Um caminho ninja em um triângulo japonês é uma sequência de $n$ círculos obtida começando na fila superior, depois passando repetidamente de um círculo para um dos dois círculos imediatamente abaixo dele e terminando na fila inferior. Aqui está um exemplo de um triângulo japonês com $n = 6$, junto com um caminho ninja nesse triângulo contendo dois círculos vermelhos. [asy] // crédito para vEnhance pelo diagrama (que estava melhor que meu original asy): size(4cm);  pair X = dir(240); pair Y = dir(0);  path c = scale(0.5)*unitcircle;  int[] t = {0,0,2,2,3,0};  for (int i=0; i<=5; ++i) {     for (int j=0; j<=i; ++j) {  filldraw(shift(i*X+j*Y)*c, (t[i]==j) ? lightred : white);  draw(shift(i*X+j*Y)*c);     }  }  draw((0,0)--(X+Y)--(2*X+Y)--(3*X+2*Y)--(4*X+2*Y)--(5*X+2*Y),linewidth(1.5));  path q = (3,-3sqrt(3))--(-3,-3sqrt(3));  draw(q,Arrows(TeXHead, 1));  label("$n = 6$", q, S); label("$n = 6$", q, S); [/asy] Em termos de $n$, encontre o maior $k$ tal que em cada triângulo japonês exista um caminho ninja contendo pelo menos $k$ círculos vermelhos.	$\lfloor \log_{2} n  \rfloor + 1$
Seja $n$ um inteiro positivo. Um quadrado nórdico é um tabuleiro de $n \times n$ que contém todos os inteiros de $1$ a $n^2$ de modo que cada célula contém exatamente um número. Duas células diferentes são consideradas adjacentes se compartilham um lado comum. Toda célula que é adjacente apenas a células contendo números maiores é chamada de vale. Um caminho ascendente é uma sequência de uma ou mais células tal que: (i) a primeira célula na sequência é um vale, (ii) cada célula subsequente na sequência é adjacente à célula anterior, e (iii) os números escritos nas células na sequência estão em ordem crescente. Encontre, em função de $n$, o menor número total possível de caminhos ascendentes em um quadrado nórdico.	$2n^2 - 2n + 1$
O Professor Carvalho está alimentando seus $100$ Pokémon. Cada Pokémon tem uma tigela cuja capacidade é um número real positivo em quilogramas. Estas capacidades são conhecidas pelo Professor Carvalho. A capacidade total de todas as tigelas é de $100$ quilogramas. O Professor Carvalho distribui $100$ quilogramas de comida de tal forma que cada Pokémon recebe um número inteiro não negativo de quilogramas de comida (que pode ser maior que a capacidade da tigela). O nível de insatisfação de um Pokémon que recebeu $N$ quilogramas de comida e cuja tigela tem uma capacidade de $C$ quilogramas é igual a $\lvert N-C\rvert$. Encontre o menor número real $D$ tal que, independentemente das capacidades das tigelas, o Professor Carvalho possa distribuir a comida de maneira que a soma dos níveis de insatisfação de todos os $100$ Pokémon seja, no máximo, $D$.	50
Determine o comprimento máximo $L$ de uma sequência $a_1,\dots,a_L$ de números inteiros positivos que satisfaça ambas as seguintes propriedades: cada termo na sequência seja menor ou igual a $2^{2023}$, e não exista uma subsequência consecutiva $a_i,a_{i+1},\dots,a_j$ (onde $1\le i\le j\le L$) com uma escolha de sinais $s_i,s_{i+1},\dots,s_j\in\{1,-1\}$ para os quais \[s_ia_i+s_{i+1}a_{i+1}+\dots+s_ja_j=0.\]	$2^{2024} - 1$
Seja $n\geqslant 2$ um número inteiro positivo. Paulo tem uma faixa retangular de $1\times n^2$ composta por $n^2$ quadrados unitários, onde o $i^{\text{ésimo}}$ quadrado está rotulado com $i$ para todo $1\leqslant i\leqslant n^2$. Ele deseja cortar a faixa em várias peças, onde cada peça consiste em um número de quadrados unitários consecutivos, e então transladar (sem girar ou inverter) as peças para obter um quadrado de $n\times n$ que satisfaça a seguinte propriedade: se o quadrado unitário na $i^{\text{ésima}}$ linha e $j^{\text{ésima}}$ coluna estiver rotulado com $a_{ij}$, então $a_{ij}-(i+j-1)$ é divisível por $n$. Determine o menor número de peças que Paulo precisa fazer para realizar isso.	$2n - 1$
O arquipélago de Imomi consiste em $n\geq 2$ ilhas. Entre cada par de ilhas distintas, existe uma linha de balsa única que opera em ambas as direções, e cada linha de balsa é operada por uma das $k$ empresas. Sabe-se que, se qualquer uma das $k$ empresas fechar todas as suas linhas de balsa, torna-se impossível para um viajante, independentemente de onde ele comece, visitar todas as ilhas exatamente uma vez (particularmente, sem retornar à ilha de onde o viajante começou). Determine o valor máximo possível de $k$ em termos de $n$.	$\lfloor \log_{2}n \rfloor$
Sejam $a_1, \dots, a_n, b_1, \dots, b_n$ $2n$ inteiros positivos tais que os $n+1$ produtos  \[a_1 a_2 a_3 \cdots a_n, b_1 a_2 a_3 \cdots a_n, b_1 b_2 a_3 \cdots a_n, \dots, b_1 b_2 b_3 \cdots b_n\] formem uma progressão aritmética estritamente crescente nesta ordem. Determine o menor inteiro possível que poderia ser a diferença comum de tal progressão aritmética.	$n!$
Seja $k\ge2$ um número inteiro. Encontre o menor número inteiro $n \ge k+1$ com a propriedade de que existe um conjunto de $n$ números reais distintos de tal forma que cada um de seus elementos pode ser escrito como a soma de $k$ outros elementos distintos do conjunto.	$k + 4$
Seja $\mathbb{R}$ o conjunto dos números reais. Denotamos por $\mathcal{F}$ o conjunto de todas as funções $f\colon\mathbb R\to\mathbb R$ tais que $$f(x + f(y)) = f(x) + f(y)$$ para todo $x,y\in\mathbb R$. Encontre todos os números racionais $q$ tais que para cada função $f\in\mathcal F$, existe algum $z\in\mathbb R$ que satisfaça $f(z)=qz$.	$\left\{ \frac{n+1}{n}: n\in\mathbb{Z}, n\neq0 \right\}$
Uma sequência $\pm 1$ é uma sequência de $2022$ números $a_1, \ldots, a_{2022},$ cada um igual a $+1$ ou $-1$. Determine o maior $C$ tal que, para qualquer sequência $\pm 1$, exista um inteiro $k$ e índices $1 \le t_1 < \ldots < t_k \le 2022$ tal que $t_{i+1} - t_i \le 2$ para todo $i$, e $$\left| \sum_{i = 1}^{k} a_{t_i} \right| \ge C.$$	506
Um número é denominado norueguês se possui três divisores positivos distintos cuja soma é igual a $2022$. Determine o menor número norueguês. (Nota: O número total de divisores positivos de um número norueguês pode ser superior a $3$.)	1344
Determine todas as funções $f: \mathbb{R} \rightarrow \mathbb{R}$ que satisfazem$$(f(a)-f(b))(f(b)-f(c))(f(c)-f(a)) = f(ab^2+bc^2+ca^2) - f(a^2b+b^2c+c^2a)$$para todos os números reais $a$, $b$, $c$.	$f(x)=\alphax+\beta$ or $f(x)=\alphax^3+\beta$ where $\alpha \in \{-1,0,1\}$ and $\beta\in\mathbb{R}$
