die Schnecke Turbo spielt ein Spiel auf einem Brett mit $2024$ Reihen und $2023$ Spalten. In $2022$ der Zellen sind versteckte Monster. Zu Beginn weiß Turbo nicht, wo sich die Monster befinden, aber er weiß, dass sich in jeder Reihe außer der ersten und der letzten genau ein Monster befindet und dass jede Spalte höchstens ein Monster enthält. Turbo unternimmt eine Reihe von Versuchen, um von der ersten Reihe zur letzten zu gelangen. Bei jedem Versuch wählt er eine beliebige Zelle in der ersten Reihe, um zu starten, und bewegt sich dann wiederholt zu einer benachbarten Zelle, die eine gemeinsame Seite teilt. (Er darf zu einer bereits besuchten Zelle zurückkehren.) Wenn er eine Zelle mit einem Monster erreicht, endet sein Versuch und er wird zurück in die erste Reihe transportiert, um einen neuen Versuch zu starten. Die Monster bewegen sich nicht und Turbo merkt sich, ob jede besuchte Zelle ein Monster enthält oder nicht. Wenn er eine beliebige Zelle in der letzten Reihe erreicht, endet sein Versuch und das Spiel ist vorbei. Bestimme den minimalen Wert von $n$, für den Turbo eine Strategie hat, die garantiert, dass er spätestens beim $n$-ten Versuch die letzte Reihe erreicht, unabhängig von den Positionen der Monster.	3
Sei $\mathbb{Q}$ die Menge der rationalen Zahlen. Eine Funktion $f: \mathbb{Q} \to \mathbb{Q}$ heißt aquaesulian, wenn folgende Eigenschaft erfüllt ist: für alle $x,y \in \mathbb{Q}$ gilt\[ f(x+f(y)) = f(x) + y \quad \text{oder} \quad f(f(x)+y) = x + f(y). \]Zeigen Sie, dass es eine ganze Zahl $c$ gibt, sodass für jede aquaesulian Funktion $f$ höchstens $c$ verschiedene rationale Zahlen der Form $f(r) + f(-r)$ für irgendeine rationale Zahl $r$ existieren, und finden Sie den kleinstmöglichen Wert von $c$.	2
Sei $n$ eine positive ganze Zahl. Ein japanisches Dreieck besteht aus $1 + 2 + \dots + n$ Kreisen, die in einer gleichseitigen Dreiecksform angeordnet sind, sodass die $i$-te Reihe für jedes $i = 1$, $2$, $\dots$, $n$ genau $i$ Kreise enthält, von denen genau einer rot gefärbt ist. Ein Ninja-Pfad in einem japanischen Dreieck ist eine Folge von $n$ Kreisen, die in der obersten Reihe beginnen, wiederholt von einem Kreis zu einem der beiden unmittelbar darunter liegenden Kreise gewechselt werden und in der untersten Reihe enden. Hier ist ein Beispiel eines japanischen Dreiecks mit $n = 6$, zusammen mit einem Ninja-Pfad in diesem Dreieck, der zwei rote Kreise enthält. [asy] // credit to vEnhance for the diagram (which was better than my original asy): size(4cm);  pair X = dir(240); pair Y = dir(0);  path c = scale(0.5)*unitcircle;  int[] t = {0,0,2,2,3,0};  for (int i=0; i<=5; ++i) {     for (int j=0; j<=i; ++j) {  filldraw(shift(i*X+j*Y)*c, (t[i]==j) ? lightred : white);  draw(shift(i*X+j*Y)*c);     }  }  draw((0,0)--(X+Y)--(2*X+Y)--(3*X+2*Y)--(4*X+2*Y)--(5*X+2*Y),linewidth(1.5));  path q = (3,-3sqrt(3))--(-3,-3sqrt(3));  draw(q,Arrows(TeXHead, 1));  label("$n = 6$", q, S); label("$n = 6$", q, S); [/asy] Finden Sie das größte $k$ in Bezug auf $n$, sodass in jedem japanischen Dreieck ein Ninja-Pfad existiert, der mindestens $k$ rote Kreise enthält.	$\lfloor \log_{2} n  \rfloor + 1$
Sei $n$ eine positive ganze Zahl. Ein nordisches Quadrat ist ein $n \times n$ Feld, das alle ganze Zahlen von $1$ bis $n^2$ enthält, so dass jede Zelle genau eine Zahl enthält. Zwei verschiedene Zellen gelten als benachbart, wenn sie eine gemeinsame Seite teilen. Jede Zelle, die nur an Zellen angrenzt, die größere Zahlen enthalten, wird als Tal bezeichnet. Ein Bergaufpfad ist eine Folge von einer oder mehreren Zellen, so dass: (i) die erste Zelle in der Folge ein Tal ist, (ii) jede nachfolgende Zelle in der Folge benachbart zur vorhergehenden Zelle ist, und (iii) die Zahlen, die in den Zellen der Folge stehen, in aufsteigender Reihenfolge sind. Finden Sie die kleinste mögliche Gesamtanzahl von Bergaufpfaden in einem nordischen Quadrat als Funktion von $n$.	$2n^2 - 2n + 1$
Professor Oak füttert seine $100$ Pokémon. Jedes Pokémon hat einen Napf, dessen Kapazität eine positive reelle Zahl in Kilogramm ist. Diese Kapazitäten sind Professor Eich bekannt. Die Gesamtkapazität aller Näpfe beträgt $100$ Kilogramm. Professor Eich verteilt $100$ Kilogramm Futter so, dass jedes Pokémon eine nicht-negative ganze Zahl von Kilogramm Futter erhält (die möglicherweise größer als die Kapazität des Napfes ist). Das Unzufriedenheitsniveau eines Pokémons, das $N$ Kilogramm Futter erhält und dessen Napf eine Kapazität von $C$ Kilogramm hat, ist gleich $\lvert N-C\rvert$. Finden Sie die kleinste reelle Zahl $D$, sodass Professor Eich das Futter so verteilen kann, unabhängig von den Kapazitäten der Näpfe, dass die Summe der Unzufriedenheitsniveaus aller $101$ Pokémon höchstens $D$ beträgt.	50
Bestimmen Sie die maximale Länge $L$ einer Folge $a_1,\dots,a_L$ von positiven ganzen Zahlen, die beide folgenden Eigenschaften erfüllt: Jedes Element der Folge ist kleiner oder gleich $2^{2023}$, und es existiert keine konsekutive Teilfolge $a_i,a_{i+1},\dots,a_j$ (wobei $1\le i\le j\le L$) mit einer Wahl von Vorzeichen $s_i,s_{i+1},\dots,s_j\in\{1,-1\}$, für die \[s_ia_i+s_{i+1}a_{i+1}+\dots+s_ja_j=0.\] gilt.	$2^{2024} - 1$
Sei $n\geqslant 2$ eine positive ganze Zahl. Paul hat einen $1\times n^2$ rechteckigen Streifen, der aus $n^2$ Einheitsquadraten besteht, wobei das $i^{\text{te}}$ Quadrat mit $i$ für alle $1\leqslant i\leqslant n^2$ beschriftet ist. Er möchte den Streifen in mehrere Teile schneiden, wobei jedes Teil aus einer Anzahl aufeinanderfolgender Einheitsquadrate besteht, und dann die Teile verschieben (ohne sie zu drehen oder zu spiegeln), um ein $n\times n$ Quadrat zu erhalten, das die folgende Eigenschaft erfüllt: Wenn das Einheitsquadrat in der $i^{\text{ten}}$ Zeile und $j^{\text{ten}}$ Spalte mit $a_{ij}$ beschriftet ist, dann ist $a_{ij}-(i+j-1)$ durch $n$ teilbar. Bestimmen Sie die kleinste Anzahl an Teilen, die Paul schneiden muss, um dies zu erreichen.	$2n - 1$
Das Imomi-Archipel besteht aus $n \geq 2$ Inseln. Zwischen jedem Paar verschiedener Inseln verläuft eine einzigartige Fährlinie, die in beide Richtungen betrieben wird, und jede Fährlinie wird von einem der $k$ Unternehmen betrieben. Es ist bekannt, dass es unmöglich wird, dass ein Reisender, unabhängig davon, wo er startet, alle Inseln genau einmal besuchen kann (insbesondere, ohne auf die Startinsel zurückzukehren), wenn eines der $k$ Unternehmen alle seine Fährlinien schließt. Bestimmen Sie den maximal möglichen Wert von $k$ in Bezug auf $n$.	$\lfloor \log_{2}n \rfloor$
Seien $a_1, \dots, a_n, b_1, \dots, b_n$ $2n$ positive ganze Zahlen, so dass die $n+1$ Produkte  \[a_1 a_2 a_3 \cdots a_n, \, b_1 a_2 a_3 \cdots a_n, \, b_1 b_2 a_3 \cdots a_n, \, \dots, \, b_1 b_2 b_3 \cdots b_n \]  in dieser Reihenfolge eine streng monotone steigende arithmetische Folge bilden. Bestimmen Sie die kleinste mögliche ganze Zahl, die die gemeinsame Differenz einer solchen arithmetischen Folge sein könnte.	$n!$
Sei $k \ge 2$ eine ganze Zahl. Finden Sie die kleinste ganze Zahl $n \ge k+1$ mit der Eigenschaft, dass es eine Menge von $n$ verschiedenen reellen Zahlen gibt, so dass jedes Element der Menge als Summe von $k$ anderen verschiedenen Elementen der Menge geschrieben werden kann.	$k + 4$
