Турбо, улитка, играет в игру на доске с $2024$ рядами и $2023$ столбцами. В $2022$ клетках спрятаны монстры. Изначально Турбо не знает, где находятся монстры, но он знает, что в каждом ряду, кроме первого и последнего, есть ровно один монстр, и что каждый столбец содержит не более одного монстра. Турбо совершает серию попыток, чтобы пройти от первого ряда до последнего. В каждой попытке он выбирает клетку в первом ряду и затем многократно перемещается в соседнюю клетку, имеющую общую сторону. (Ему разрешено возвращаться в уже посещённые клетки.) Если он достигает клетки с монстром, его попытка заканчивается, и он переносится обратно в первый ряд, чтобы начать новую попытку. Монстры не двигаются, и Турбо помнит, находится ли в каждой посещённой им клетке монстр. Если он достигает любой клетки в последнем ряду, его попытка заканчивается, и игра завершается. Найдите минимальное значение $n$, при котором у Турбо есть стратегия, гарантирующая достижение последнего ряда на $n$-й попытке или раньше, независимо от расположения монстров.	3
Пусть $\mathbb{Q}$ является множеством рациональных чисел. Функция $f: \mathbb{Q} \to \mathbb{Q}$ называется акуасулианской, если выполняется следующее свойство: для каждого $x, y \in \mathbb{Q}$,\[ f(x+f(y)) = f(x) + y \quad \text{или} \quad f(f(x)+y) = x + f(y). \]Докажите, что существует целое число $c$ такое, что для любой акуасулианской функции $f$ существует не более $c$ различных рациональных чисел вида $f(r) + f(-r)$ для некоторых рациональных чисел $r$, и найдите наименьшее возможное значение $c$.	2
Пусть $n$ будет положительным целым числом. Японский треугольник состоит из $1 + 2 + \dots + n$ окружностей, расположенных в форме равностороннего треугольника таким образом, что в каждой $i$-ой строке ($i = 1$, $2$, $\dots$, $n$) содержится ровно $i$ окружностей, одна из которых окрашена в красный цвет. Путь ниндзя в японском треугольнике - это последовательность из $n$ окружностей, которая начинается в верхнем ряду, затем последовательно перемещается от одной окружности к одной из двух окружностей, находящихся непосредственно под ней, и заканчивается в нижнем ряду. Вот пример японского треугольника при $n = 6$, а также путь ниндзя в этом треугольнике, содержащий две красные окружности. [asy] // thanks to vEnhance for the diagram (which is better than my initial asy): size(4cm);  pair X = dir(240); pair Y = dir(0);  path c = scale(0.5)*unitcircle;  int[] t = {0,0,2,2,3,0};  for (int i=0; i<=5; ++i) {     for (int j=0; j<=i; ++j) {  filldraw(shift(i*X+j*Y)*c, (t[i]==j) ? lightred : white);  draw(shift(i*X+j*Y)*c);     }  }  draw((0,0)--(X+Y)--(2*X+Y)--(3*X+2*Y)--(4*X+2*Y)--(5*X+2*Y),linewidth(1.5));  path q = (3,-3sqrt(3))--(-3,-3sqrt(3));  draw(q,Arrows(TeXHead, 1));  label("$n = 6$", q, S); [/asy] Найдите наибольшее $k$ в терминах $n$, такое что в каждом японском треугольнике существует путь ниндзя, содержащий как минимум $k$ красных окружностей.	$\lfloor \log_{2} n  \rfloor + 1$
Пусть $n$ будет положительным целым числом. Нордический квадрат — это доска размером $n \times n$, содержащая все целые числа от $1$ до $n^2$ таким образом, что каждая ячейка содержит ровно одно число. Две разные ячейки считаются смежными, если они имеют общую сторону. Каждая ячейка, которая граничит только с ячейками, содержащими большие числа, называется долиной. Путь в гору — это последовательность из одной или нескольких ячеек, такая что: (i) первая ячейка в последовательности является долиной, (ii) каждая последующая ячейка в последовательности прилегает к предыдущей ячейке, и (iii) числа, написанные в ячейках последовательности, возрастают. Найдите, в зависимости от $n$, наименьшее возможное общее количество путей в гору в нордическом квадрате.	$2n^2 - 2n + 1$
Профессор Оук кормит своих $100$ Покемонов. У каждого Покемона есть миска, вместимость которой измеряется положительным вещественным числом в килограммах. Эти вместимости известны профессору Оуку. Общая вместимость всех мисок составляет $100$ килограммов. Профессор Оук распределяет $100$ килограммов еды таким образом, чтобы каждый Покемон получал неотрицательное целое количество килограммов еды (которое может превышать вместимость миски). Уровень недовольства Покемона, который получил $N$ килограммов еды и чья миска имеет вместимость $C$ килограммов, равен $\lvert N-C\rvert$. Найдите наименьшее вещественное число $D$ такое, что независимо от вместимостей мисок, профессор Оук может распределять еду так, чтобы сумма уровней недовольства всех $100$ Покемонов не превышала $D$.	50
Определите максимальную длину $L$ последовательности $a_1,\dots,a_L$ положительных целых чисел, удовлетворяющей следующим свойствам: каждый член последовательности меньше или равен $2^{2023}$, и не существует такой последовательной подпоследовательности $a_i,a_{i+1},\dots,a_j$ (где $1\le i\le j\le L$) с выбором знаков $s_i,s_{i+1},\dots,s_j\in\{1,-1\}$, для которой\[s_i a_i + s_{i+1} a_{i+1} + \dots + s_j a_j = 0.\]	$2^{2024} - 1$
Пусть $n \geqslant 2$ - положительное целое число. У Пола есть прямоугольная полоска размером $1 \times n^2$, состоящая из $n^2$ единичных квадратов, где $i^{\text{th}}$ квадрат пронумерован числом $i$ для всех $1 \leqslant i \leqslant n^2$. Он хочет разрезать полоску на несколько частей, каждая из которых состоит из некоторого количества последовательных единичных квадратов, а затем переместить (без поворотов или переворотов) эти части, чтобы получить квадрат размером $n \times n$, удовлетворяющий следующему свойству: если единичный квадрат в $i^{\text{ой}}$ строке и $j^{\text{ом}}$ столбце пронумерован числом $a_{ij}$, то $a_{ij}-(i+j-1)$ делится на $n$. Определите наименьшее количество частей, на которые Полу нужно разрезать полоску, чтобы достичь этой цели.	$2n - 1$
Архипелаг Имоми состоит из $n \geq 2$ островов. Между каждой парой различных островов существует уникальная паромная линия, которая курсирует в обоих направлениях, и каждая паромная линия управляется одной из $k$ компаний. Известно, что если любая из $k$ компаний закроет все свои паромные линии, то станет невозможным для путешественника, независимо от того, с какого острова он начнёт, посетить все острова ровно по одному разу (в частности, не возвращаясь на остров, с которого он начал путешествие). Определите максимально возможное значение $k$ в зависимости от $n$.	$\lfloor \log_{2}n \rfloor$
Пусть $a_1, \dots, a_n, b_1, \dots, b_n$ — $2n$ положительных целых чисел, таких что $n+1$ произведение \[a_1 a_2 a_3 \cdots a_n, b_1 a_2 a_3 \cdots a_n, b_1 b_2 a_3 \cdots a_n, \dots, b_1 b_2 b_3 \cdots b_n\] образуют строго возрастающую арифметическую прогрессию в указанном порядке. Определите наименьшее возможное целое число, которое может быть общим разностью такой арифметической прогрессии.	$n!$
Пусть $k \ge 2$ — целое число. Найдите наименьшее целое число $n \ge k+1$ с таким свойством, что существует множество из $n$ различных действительных чисел, каждое из которых можно записать как сумму $k$ других различных элементов множества.	$k + 4$
Обозначим $\mathbb R$ как множество вещественных чисел. Обозначим через $\mathcal F$ множество всех функций $f\colon\mathbb R\to\mathbb R$, таких что $$f(x + f(y)) = f(x) + f(y)$$ для всех $x,y\in\mathbb R$. Найдите все рациональные числа $q$, такие что для каждой функции $f\in\mathcal F$ существует некоторое $z\in\mathbb R$, удовлетворяющее равенству $f(z)=qz$.	$\left\{ \frac{n+1}{n}: n\in\mathbb{Z}, n\neq0 \right\}$
Последовательность $\pm 1$ - это последовательность из $2022$ чисел $a_1, \ldots, a_{2022},$ каждое из которых равно либо $+1$, либо $-1$. Определите максимально возможное значение $C$ так, чтобы для любой последовательности $\pm 1$ находилось целое число $k$ и индексы $1 \le t_1 < \ldots < t_k \le 2022$ такие, что $t_{i+1} - t_i \le 2$ для всех $i$, и$$\left| \sum_{i = 1}^{k} a_{t_i} \right| \ge C.$$	506
Число называется норвежским, если у него есть три различных положительных делителя, сумма которых равна $2022$. Определите наименьшее норвежское число. (Примечание: Общее количество положительных делителей норвежского числа может быть больше $3$.)	1344
Найдите все функции $f: \mathbb{R} \rightarrow \mathbb{R}$, которые удовлетворяют следующему уравнению: $$(f(a)-f(b))(f(b)-f(c))(f(c)-f(a)) = f(ab^2+bc^2+ca^2) - f(a^2b+b^2c+c^2a)$$для любых действительных чисел $a$, $b$, $c$.	$f(x)=\alphax+\beta$ or $f(x)=\alphax^3+\beta$ where $\alpha \in \{-1,0,1\}$ and $\beta\in\mathbb{R}$
Определите наибольшее целое число $N$, для которого существует таблица $T$ из целых чисел с $N$ строками и $100$ столбцами, обладающая следующими свойствами: $\text{(i)}$ Каждая строка содержит числа $1$, $2$, $\ldots$, $100$ в некотором порядке. $\text{(ii)}$ Для любых двух различных строк $r$ и $s$ существует столбец $c$ такой, что $|T(r,c) - T(s, c)|\geq 2$. (Здесь $T(r,c)$ - это элемент в строке $r$ и столбце $c$.)	$\frac{100!}{2^{50}}$
Пусть $R^+$ обозначает множество положительных действительных чисел. Определите все функции $f:R^+$ $\rightarrow$ $R^+$, такие что для всех положительных действительных чисел $x$ и $y$ выполняется: $$f(x+f(xy))+y=f(x)f(y)+1$$	$f(x) = x + 1$
Дан целый число $n > 1$. На склоне горы расположены $n^2$ станции, каждая на разной высоте. Две канатные компании, $A$ и $B$, управляют $k$ канатными дорогами каждая; каждая канатная дорога обеспечивает перемещение от одной станции к более высокой (без промежуточных остановок). $k$ канатных дорог компании $A$ имеют $k$ различных начальных точек и $k$ различных конечных точек, и канатная дорога, которая начинается выше, также заканчивается выше. Те же условия применяются для компании $B$. Мы говорим, что две станции связаны компанией, если можно начать с нижней станции и достичь верхней, используя одну или более канатных дорог этой компании (другие перемещения между станциями не допускаются). Определите наименьшее положительное число $k$, для которого можно гарантировать, что существуют две станции, связанные обеими компаниями.	$n^2 - n + 1$
Числа Фибоначчи $F_0, F_1, F_2,  . . .$ определяются индуктивно: $F_0=0, F_1=1$ и $F_{n+1}=F_n+F_{n-1}$ при $n \ge 1$. Дано целое число $n \ge 2$. Определите наименьший размер множества $S$ целых чисел, такого что для каждого $k=2, 3,  . . ., n$ существуют такие $x, y \in S$, что $x-y=F_k$.	$\lceil \frac{n}{2} \rceil + 1$
Игроки $A$ и $B$ играют в игру на доске, на которой первоначально находятся 2020 копий числа 1. В каждом раунде игрок $A$ стирает два числа $x$ и $y$ с доски, а затем игрок $B$ пишет одно из чисел $x+y$ и $|x-y|$ на доске. Игра заканчивается, как только в конце какого-либо раунда выполняется одно из следующих условий: $(1)$ одно из чисел на доске больше суммы всех остальных чисел; $(2)$ на доске только нули. Игрок $B$ должен тогда дать игроку $A$ столько печений, сколько чисел на доске. Игрок $A$ хочет получить как можно больше печений, в то время как игрок $B$ хочет дать как можно меньше. Определите количество печений, которые получит $A$, если оба игрока играют оптимально.	7
Банк Бата выпускает монеты с $H$ на одной стороне и $T$ на другой. У Гарри есть $n$ таких монет, расположенных в ряд слева направо. Он многократно выполняет следующую операцию: если ровно $k>0$ монет показывают $H$, он переворачивает $k$-ю монету слева; иначе все монеты показывают $T$, и он останавливается. Например, если $n=3$, процесс начиная с конфигурации $THT$ будет следующим: $THT \to HHT  \to HTT \to TTT$, который остановится после трех операций. (a) Докажите, что для каждой начальной конфигурации Гарри остановится после конечного числа операций. (b) Для каждой начальной конфигурации $C$, пусть $L(C)$ будет количество операций до того, как Гарри остановится. Например, $L(THT) = 3$ и $L(TTT) = 0$. Определите среднее значение $L(C)$ по всем $2^n$ возможным начальным конфигурациям $C$.	$\frac{n(n+1)}{4}$
Банк Бата выпускает монеты с $H$ на одной стороне и $T$ на другой. У Гарри есть $n$ таких монет, расположенных в ряд слева направо. Он многократно выполняет следующую операцию: если ровно $k>0$ монет показывают $H$, он переворачивает $k$-ю монету слева; иначе все монеты показывают $T$, и он останавливается. Например, если $n=3$, процесс начиная с конфигурации $THT$ будет следующим: $THT \to HHT  \to HTT \to TTT$, который остановится после трех операций.\n(a) Докажите, что для каждой начальной конфигурации Гарри остановится после конечного числа операций.\n(b) Для каждой начальной конфигурации $C$, пусть $L(C)$ будет количество операций до того, как Гарри остановится. Например, $L(THT) = 3$ и $L(TTT) = 0$. Определите среднее значение $L(C)$ по всем $2^n$ возможным начальным конфигурациям $C$.	$2^k$
Пусть $a_0,a_1,a_2,\dots $ — последовательность вещественных чисел, такая что $a_0=0, a_1=1,$ и для каждого $n\geq 2$ существует такое $1 \le k \le n$, что выполняется\[ a_n=\frac{a_{n-1}+\dots + a_{n-k}}{k}. \]Найдите наибольшее возможное значение $a_{2018}-a_{2017}$.	$\frac{2016}{2017^2}$
Пусть $q$ будет действительным числом. У Гугу есть салфетка, на которой написаны десять различных действительных чисел, и он пишет следующие три строки действительных чисел на доске: В первой строке Гугу записывает каждое число формы $a-b$, где $a$ и $b$ - два (не обязательно различных) числа с его салфетки. Во второй строке Гугу записывает каждое число формы $qab$, где $a$ и $b$ - два (не обязательно различных) числа из первой строки. В третьей строке Гугу записывает каждое число формы $a^2+b^2-c^2-d^2$, где $a, b, c, d$ - четыре (не обязательно различных) числа из первой строки. Определите все значения $q$ такие, что, независимо от чисел на салфетке Гугу, каждое число во второй строке также является числом в третьей строке.	${-2,0,2}$
Найдите наименьшую константу $C > 0$, для которой выполняется следующее утверждение: среди любых пяти положительных действительных чисел $a_1,a_2,a_3,a_4,a_5$ (не обязательно различных) всегда можно выбрать различные индексы $i,j,k,l$, такие что \[ \left| \frac{a_i}{a_j} - \frac {a_k}{a_l} \right| \le C. \]	$\frac{1}{2}$
Уравнение $$(x-1)(x-2)\cdots(x-2016)=(x-1)(x-2)\cdots(x-2016)$$ записано на доске, с 2016 линейными множителями с каждой стороны. Каково наименьшее возможное значение $k$, при котором можно стереть ровно $k$ из этих $4032$ линейных множителей так, чтобы по крайней мере один множитель остался с каждой стороны, и полученное уравнение не имело действительных решений?	2016
Найдите наибольшую действительную константу $a$, такую что для всех $n \geq 1$ и для всех действительных чисел $x_0, x_1, ... , x_n$, удовлетворяющих условию $0 = x_0 < x_1 < x_2 < \cdots < x_n$, выполняется неравенство \[\frac{1}{x_1-x_0} + \frac{1}{x_2-x_1} + \dots + \frac{1}{x_n-x_{n-1}} \geq a \left( \frac{2}{x_1} + \frac{3}{x_2} + \dots + \frac{n+1}{x_n} \right)\]	$\frac{4}{9}$
Найдите все целые числа $n$, для которых можно заполнить каждую ячейку таблицы размером $n \times n$ одной из букв $I, M$ и $O$ таким образом, что: в каждой строке и каждом столбце одна треть записей составляют $I$, одна треть составляют $M$ и одна треть составляют $O$; и в любой диагонали, если количество записей на диагонали кратно трём, то одна треть записей составляют $I$, одна треть составляют $M$ и одна треть составляют $O$. Примечание. Строки и столбцы таблицы размером $n \times n$ пронумерованы от $1$ до $n$ в естественном порядке. Таким образом, каждая ячейка соответствует паре положительных целых чисел $(i,j)$, где $1 \le i,j \le n$. Для $n>1$ в таблице есть $4n-2$ диагонали двух типов. Диагональ первого типа состоит из всех ячеек $(i,j)$, для которых $i+j$ является постоянной величиной, а диагональ второго типа состоит из всех ячеек $(i,j)$, для которых $i-j$ является постоянной величиной.	9
Пусть $n$ будет положительным целым числом. Определите наименьшее положительное целое число $k$ с таким свойством: возможно отметить $k$ клеток на доске размером $2n \times 2n$ так, чтобы имелась уникальная расстановка домино размером $1 \times 2$ и $2 \times 1$, ни одна из которых не содержит две отмеченные клетки.	$2n$
Множество положительных целых чисел называется "ароматным", если оно содержит по крайней мере два элемента, и каждый его элемент имеет общий простой множитель хотя бы с одним из других элементов. Пусть $P(n)=n^2+n+1$. Каково наименьшее возможное положительное целое значение $b$ такое, что существует неотрицательное целое число $a$, для которого множество$$\{P(a+1),P(a+2),\ldots,P(a+b)\}$$является ароматным?	6
Пусть $n$ — фиксированное положительное целое число. Найдите максимальное возможное значение\[ \sum_{1 \le r < s \le 2n} (s-r-n)x_rx_s, \]где $-1 \le x_i \le 1$ для всех $i = 1, \cdots , 2n$.	$n(n-1)$
Для конечного множества $A$ положительных целых чисел, разбиение множества $A$ на два непересекающихся непустых подмножества $A_1$ и $A_2$ называется $\textit{удовлетворительным}$, если наименьшее общее кратное элементов в $A_1$ равно наибольшему общему делителю элементов в $A_2$. Определить минимальное значение $n$ такое, что существует множество из $n$ положительных целых чисел с ровно $2015$ удовлетворительными разбиениями.	3024
Пусть $\mathbb{Z}_{>0}$ обозначает множество положительных целых чисел. Для любого положительного целого числа $k$, функция $f: \mathbb{З}_{>0} \to \mathbb{З}_{>0}$ называется $k$-удовлетворительной, если $\gcd(f(m) + n, f(n) + m) \le k$ для всех $m \neq n$. Найдите все $k$, для которых существует $k$-удовлетворительная функция.	$k \geq 2$
Пусть $n \ge 2$ — целое число. Рассмотрим шахматную доску размером $n \times n$, состоящую из $n^2$ единичных клеток. Расстановка $n$ ладей на этой доске называется спокойной, если каждая строка и каждый столбец содержит ровно одну ладью. Найдите наибольшее положительное целое число $k$ такое, что для каждой спокойной расстановки $n$ ладей существует квадрат размера $k \times k$, который не содержит ладью ни в одной из своих $k^2$ единичных клеток.	$\left\lfloor \sqrt{n-1} \right\rfloor$
Найдите все простые числа $p>5$, для которых существуют целые числа $a$ и $r$, удовлетворяющие условиям $1\leq r\leq p-1$ со следующей характеристикой: последовательность $1,\,a,\,a^2,\,\ldots,\,a^{p-5}$ можно переставить так, чтобы образовалась последовательность $b_0,\,b_1,\,b_2,\,\ldots,\,b_{p-5}$ такая, что разница $b_n - b_{n-1} - r$ делится на $p$ для всех $1\leq n\leq p-5$.	7
