蜗牛Turbo在一个有$2024$行$2023$列的棋盘上玩游戏。棋盘上有$2022$个单元格内隐藏了怪物。起初，Turbo不知道任何一个怪物的位置，但他知道每一行（除了第一行和最后一行）恰好有一个怪物，并且每一列最多有一个怪物。 Turbo进行一系列从第一行到达最后一行的尝试。每次尝试时，他选择从第一行的任意一个单元格开始，然后反复移动到一个拥有共享边的相邻单元格（他可以返回到之前访问过的单元格）。如果他到达了一个有怪物的单元格，尝试结束，他会被传送回第一行重新开始新的尝试。怪物不会移动，Turbo会记住每个他访问过的单元格中是否有怪物。如果他到达了最后一行的任何一个单元格，尝试结束，游戏也就结束了。 确定$n$的最小值，使得Turbo有一种策略可以保证在第$n$次尝试或更早到达最后一行，而不管怪物的位置如何。	3
设 $\mathbb{Q}$ 为有理数集。如果对所有 $x,y \in \mathbb{Q}$，函数 $f: \mathbb{Q} \to \mathbb{Q}$ 均满足以下性质：\[ f(x+f(y)) = f(x) + y \quad \text{or} \quad f(f(x)+y) = x + f(y). \] 则称它为 aquaesulian。证明存在一个整数 $c$，使得对于任何 aquaesulian 函数 $f$，最多有 $c$ 个不同的形式为 $f(r) + f(-r)$ 的有理数，其中 $r$ 为某个有理数，并找到 $c$ 的最小可能值。	2
设 $n$ 为一个正整数。一个日本三角形由 $1 + 2 + \dots + n$ 个圆圈组成，这些圆圈排列成一个等边三角形的形状。对于每个 $i = 1, 2, \dots, n$，第 $i$ 行恰好包含 $i$ 个圆圈，其中有一个圆圈被涂成红色。一个日本三角形中的忍者路径是一系列 $n$ 个圆圈，这些圆圈是从顶部开始形成的，然后每次从一个圆圈走向其正下方的两个圆圈中的一个，最后到达底部行。下面是一个日本三角形，当 $n = 6$ 时，其中包含一个忍者路径，该路径中有两个红色圆圈。 [asy] // credit to vEnhance for the diagram (which was better than my original asy): size(4cm);  pair X = dir(240); pair Y = dir(0);  path c = scale(0.5)*unitcircle;  int[] t = {0,0,2,2,3,0};  for (int i=0; i<=5; ++i) {     for (int j=0; j<=i; ++j) {  filldraw(shift(i*X+j*Y)*c, (t[i]==j) ? lightred : white);  draw(shift(i*X+j*Y)*c);     }  }  draw((0,0)--(X+Y)--(2*X+Y)--(3*X+2*Y)--(4*X+2*Y)--(5*X+2*Y),linewidth(1.5));  path q = (3,-3sqrt(3))--(-3,-3sqrt(3));  draw(q,Arrows(TeXHead, 1));  label("$n = 6$", q, S); label("$n = 6$", q, S); [/asy] 在 $n$ 的情形下，求最大的 $k$，使得在每个日本三角形中，总有一个忍者路径包含至少 $k$ 个红色圆圈。	$\lfloor \log_{2} n  \rfloor + 1$
设 $n$ 为一个正整数。一个北欧方阵是一个 $n \times n$ 的棋盘，其中包含从 $1$ 到 $n^2$ 的所有整数，并且每个单元格中正好包含一个数字。如果两个单元格共享一条边，则它们被认为是相邻的。每个仅与包含更大数字的单元格相邻的单元格称为低谷。上坡路径是一个或多个单元格的序列，满足以下条件： (i) 序列中的第一个单元格是一个低谷， (ii) 序列中的每个后续单元格与前一个单元格相邻，并且 (iii) 序列中的单元格中的数字按递增顺序排列。 求北欧方阵中，上坡路径的总数最少可能是多少，作为 $n$ 的函数。	$2n^2 - 2n + 1$
Oak 教授在喂养他的 $100$ 只宝可梦。每只宝可梦有一个碗，该碗的容量是一个正实数（单位为千克）。Oak 教授知道这些碗的容量。这些碗的总容量为 $100$ 千克。Oak 教授为宝可梦分配这 $100$ 千克的食物，使得每只宝可梦收到的食物量是一个非负整数千克（这可能大于碗的容量）。若某只宝可梦得到 $N$ 千克食物，但它的碗容量为 $C$ 千克，则它的不满程度等于 $\lvert N-C\rvert$。 求最小的实数 $D$，使得无论碗的容量如何，Oak 教授总能以一种方式分配食物，使得所有 $100$ 只宝可梦的不满程度之和至多为 $D$。	50
确定满足以下两个条件的正整数序列 $a_1,\dots,a_L$ 的最大长度 $L$： 序列中的每个项都小于或等于 $2^{2023}$，并且 不存在一个连续的子序列 $a_i,a_{i+1},\dots,a_j$（其中 $1\le i\le j\le L$）对应符号选择 $s_i,s_{i+1},\dots,s_j\in\{1,-1\}$ 使得\[s_ia_i+s_{i+1}a_{i+1}+\dots+s_ja_j=0.\]	$2^{2024} - 1$
设$n \geqslant 2$是一个正整数。Paul有一个$1\times n^2$的矩形条，它由$n^2$个单位方格组成，其中第$i$个方格标有$i$，$1\leqslant i\leqslant n^2$。他希望将这条矩形条切成若干段，每段由连续的单位方格组成，然后将这些段平移（不旋转或翻转）以拼成一个$n\times n$的正方形，并满足以下条件：如果第$i$行和第$j$列的单位方格标有$a_{ij}$，则$a_{ij}-(i+j-1)$是$n$的倍数。 确定Paul需要切割的最少段数。	$2n - 1$
伊莫米群岛由 $n \geq 2$ 个岛屿组成。每对不同的岛屿之间都有一个独特的轮渡航线，并且每条轮渡航线由 $k$ 个公司中的一个公司运营。已知如果任意一个公司关闭了其所有轮渡航线，那么无论旅行者从哪里出发，都无法恰好访问所有岛屿一次（特别地，不返回旅行者出发的岛屿）。 确定 $k$ 的最大可能值是多少，以 $n$ 为参数表示。	$\lfloor \log_{2}n \rfloor$
设 $a_1, \dots, a_n, b_1, \dots, b_n$ 为 $2n$ 个正整数，使得如下的 $n+1$ 个乘积 \[a_1 a_2 a_3 \cdots a_n, b_1 a_2 a_3 \cdots a_n, b_1 b_2 a_3 \cdots a_n, \dots, b_1 b_2 b_3 \cdots b_n\] 按顺序组成一个严格递增的等差数列。这样的一个等差数列，请确定其公差可能的最小整数是多少。	$n!$
设 $k\ge2$ 为一个整数。求满足以下性质的最小整数 $n \ge k+1$：存在一个包含 $n$ 个不同实数的集合，使得该集合中的每一个元素都可以表示为集合中其他 $k$ 个不同元素的和。	$k + 4$
设 $\mathbb R$ 为实数集合。我们用 $\mathcal F$ 表示所有满足以下条件的函数 $f\colon\mathbb R\to\mathbb R$ 的集合 : 对于每一个 $x, y \in \mathbb R$，都有$$f(x + f(y)) = f(x) + f(y)$$ 求满足以下条件的所有有理数 $q$：对于任意函数 $f \in \mathcal F$，存在某个 $z \in \mathbb R$ ，使得 $f(z) = qz$。	$\left\{ \frac{n+1}{n}: n\in\mathbb{Z}, n\neq0 \right\}$
一个$\pm 1$-序列是由$2022$个数$a_1, \ldots, a_{2022}$组成的序列，每个数都等于$+1$或$-1$。请确定最大的$C$，使得对于任意$\pm 1$-序列，存在一个整数$k$和索引$1 \le t_1 < \ldots < t_k \le 2022$，使得对所有$i$都有$t_{i+1} - t_i \le 2$，并且$$\left| \sum_{i = 1}^{k} a_{t_i} \right| \ge C.$$	506
如果一个数有三个互不相同的正因数，且它们的和等于 $2022$，则它被称为挪威数。求最小的挪威数。 (注意: 挪威数的正因数总数可以大于3。)	1344
确定所有满足以下条件的函数 $f: \mathbb{R} \rightarrow \mathbb{R}$: 对于所有实数 $a$、$b$、$c$，$$(f(a)-f(b))(f(b)-f(c))(f(c)-f(a)) = f(ab^2+bc^2+ca^2) - f(a^2b+b^2c+c^2a)$$恒成立。	$f(x)=\alphax+\beta$ or $f(x)=\alphax^3+\beta$ where $\alpha \in \{-1,0,1\}$ and $\beta\in\mathbb{R}$
确定最大整数 $N$，使得存在一个 $N$ 行 $100$ 列的整数表 $T$，其具有以下属性： $\text{(i)}$ 每一行以某种顺序包含数字 $1$, $2$, $\ldots$, $100$。 $\text{(ii)}$ 对于任何两个不同的行 $r$ 和 $s$，存在一列 $c$ 使得 $|T(r,c) - T(s, c)|\geq 2$。（这里 $T(r,c)$ 是 $r$ 行 $c$ 列的元素。）	$\frac{100!}{2^{50}}$
设 $R^+$ 是正实数集合。确定所有满足以下条件的函数 $f: R^+ \rightarrow R^+$，对任意正实数 $x$ 和 $y$，都有： $$f(x+f(xy))+y=f(x)f(y)+1$$	$f(x) = x + 1$
有一个整数 $n > 1$。在一座山坡上有 $n^2$ 个不同海拔的站点。两个缆车公司 $A$ 和 $B$ 各运营 $k$ 部缆车；每部缆车提供从某一站点到更高站点的传输（中间不停靠）。$A$ 公司的 $k$ 部缆车有 $k$ 个不同的起点和 $k$ 个不同的终点，并且起点海拔较高的缆车终点也较高。$B$ 公司也有相同的条件。我们说两个站点被某公司连接是指，可以从较低站点通过该公司的一个或多个缆车到达较高站点（不允许有其他站点间的移动）。确定最小的正整数 $k$，使得可以保证有两个站点被两家公司都连接。	$n^2 - n + 1$
斐波那契数列 $F_0, F_1, F_2, . . .$ 是通过以下递归关系定义的：$F_0=0, F_1=1$, 并且对于 $n \ge 1$ 有 $F_{n+1}=F_n+F_{n-1}$ 。给定一个整数 $n \ge 2$，确定一个集合 $S$ 的最小大小，使得对于每一个 $k=2, 3, . . . , n$，存在某些 $x, y \in S$ 使得 $x-y=F_k$。	$\lceil \frac{n}{2} \rceil + 1$
玩家 $A$ 和 $B$ 在一个黑板上进行游戏，黑板上最初有2020个数字1。在每一轮中，玩家 $A$ 擦去黑板上的两个数 $x$ 和 $y$，然后玩家 $B$ 将 $x+y$ 和 $|x-y|$ 中的一个写回黑板。游戏在以下任意一种情况发生时终止： $(1)$ 黑板上的一个数字大于其他所有数字之和； $(2)$ 黑板上只有零。 随后，玩家 $B$ 必须给玩家 $A$ 与黑板上数字数量相等的饼干。玩家 $A$ 想获得尽可能多的饼干，而玩家 $B$ 想尽量少给。若两名玩家都采取最优策略，求玩家 $A$ 会得到的饼干数量。	7
巴斯银行发行了两面分别为 $H$ 和 $T$ 的硬币。哈利有 $n$ 个这样的硬币，从左到右排列成一行。他反复执行以下操作：如果正面显示为 $H$ 的硬币恰好有 $k>0$ 个，那么他翻转从左数第 $k$ 个硬币；否则，所有硬币都显示为 $T$，他停止操作。例如，如果 $n=3$，从配置 $THT$ 开始的过程将是 $THT \to HHT  \to HTT \to TTT$，在三次操作后停止。 (a) 证明对于每一种初始配置，哈利都能在有限次操作后停止。 (b) 对于每一种初始配置 $C$，设 $L(C)$ 为哈利停止前的操作次数。例如，$L(THT) = 3$ 和 $L(TTT) = 0$。确定所有 $2^n$ 种可能的初始配置 $C$ 的 $L(C)$ 的平均值。	$\frac{n(n+1)}{4}$
对于任意两个不同的实数 $x$ 和 $y$，我们定义 $D(x,y)$ 为满足 $2^d\le |x-y| < 2^{d+1}$ 的唯一整数 $d$。给定一组实数 $\mathcal F$ 和一个元素 $x \in \mathcal F$，我们称 $x$ 在 $\mathcal F$ 中的尺度为 $D(x,y)$ 的值，其中 $y \in \mathcal F$ 并且 $x \neq y$。设 $k$ 为一个给定的正整数。 假设 $\mathcal F$ 的每个成员 $x$ 在 $\mathcal F$ 中的不同尺度至多有 $k$ 个（注意这些尺度可能依赖于 $x$）。那么 $\mathcal F$ 的最大可能大小是多少？	$2^k$
